Date,Meru Networks
2010-04-13,32
2010-04-14,31
2010-04-15,31
2010-04-16,30
2010-04-17,30
2010-04-18,29
2010-04-19,29
2010-04-20,28
2010-04-21,27
2010-04-22,27
2010-04-23,26
2010-04-24,26
2010-04-25,26
2010-04-26,27
2010-04-27,28
2010-04-28,29
2010-04-29,29
2010-04-30,30
2010-05-01,31
2010-05-02,29
2010-05-03,26
2010-05-04,24
2010-05-05,21
2010-05-06,19
2010-05-07,17
2010-05-08,15
2010-05-09,16
2010-05-10,17
2010-05-11,18
2010-05-12,19
2010-05-13,20
2010-05-14,21
2010-05-15,22
2010-05-16,23
2010-05-17,24
2010-05-18,26
2010-05-19,27
2010-05-20,28
2010-05-21,30
2010-05-22,31
2010-05-23,29
2010-05-24,28
2010-05-25,26
2010-05-26,25
2010-05-27,24
2010-05-28,22
2010-05-29,21
2010-05-30,20
2010-06-06,19
2010-06-07,20
2010-06-08,20
2010-06-09,20
2010-06-10,21
2010-06-11,21
2010-06-12,22
2010-06-13,22
2010-06-14,21
2010-06-15,21
2010-06-16,21
2010-06-17,21
2010-06-18,21
2010-06-19,21
2010-06-20,21
2010-06-21,22
2010-06-22,22
2010-06-23,23
2010-06-24,23
2010-06-25,24
2010-06-26,25
2010-06-27,24
2010-06-28,23
2010-06-29,22
2010-06-30,22
2010-07-01,21
2010-07-02,20
2010-07-03,20
2010-07-04,20
2010-07-05,21
2010-07-06,22
2010-07-07,23
2010-07-08,23
2010-07-09,24
2010-07-10,25
2010-07-11,24
2010-07-12,22
2010-07-13,21
2010-07-14,20
2010-07-15,19
2010-07-16,18
2010-07-17,17
2010-07-18,17
2010-07-19,18
2010-07-20,18
2010-07-21,19
2010-07-22,19
2010-07-23,20
2010-07-24,21
2010-07-25,21
2010-07-26,22
2010-07-27,23
2010-07-28,23
2010-07-29,24
2010-07-30,25
2010-07-31,26
2010-08-01,24
2010-08-02,22
2010-08-03,21
2010-08-04,19
2010-08-05,18
2010-08-06,16
2010-08-07,15
2010-08-08,15
2010-08-09,15
2010-08-10,15
2010-08-11,16
2010-08-12,16
2010-08-13,16
2010-08-14,17
2010-08-15,17
2010-08-16,17
2010-08-17,18
2010-08-18,18
2010-08-19,19
2010-08-20,19
2010-08-21,20
2010-08-22,19
2010-08-23,19
2010-08-24,18
2010-08-25,18
2010-08-26,17
2010-08-27,17
2010-08-28,17
2010-08-29,19
2010-09-05,32
2010-09-06,30
2010-09-07,29
2010-09-08,27
2010-09-09,26
2010-09-10,24
2010-09-11,23
2010-09-12,23
2010-09-13,23
2010-09-14,23
2010-09-15,23
2010-09-16,23
2010-09-17,23
2010-09-18,23
2010-09-19,23
2010-09-20,23
2010-09-21,24
2010-09-22,24
2010-09-23,25
2010-09-24,25
2010-09-25,26
2010-09-26,26
2010-09-27,28
2010-09-28,29
2010-09-29,30
2010-09-30,30
2010-10-01,31
2010-10-02,32
2010-10-03,30
2010-10-04,26
2010-10-05,24
2010-10-06,21
2010-10-07,19
2010-10-08,16
2010-10-09,14
2010-10-10,16
2010-10-11,18
2010-10-12,21
2010-10-13,23
2010-10-14,26
2010-10-15,28
2010-10-16,31
2010-10-17,32
2010-10-18,33
2010-10-19,34
2010-10-20,36
2010-10-21,37
2010-10-22,38
2010-10-23,40
2010-10-24,38
2010-10-25,37
2010-10-26,35
2010-10-27,34
2010-10-28,33
2010-10-29,31
2010-10-30,30
2010-10-31,28
2010-11-01,27
2010-11-02,26
2010-11-03,24
2010-11-04,23
2010-11-05,22
2010-11-06,21
2010-11-07,21
2010-11-08,22
2010-11-09,22
2010-11-10,23
2010-11-11,24
2010-11-12,24
2010-11-13,25
2010-11-14,24
2010-11-15,22
2010-11-16,21
2010-11-17,19
2010-11-18,18
2010-11-19,17
2010-11-20,16
2010-11-21,17
2010-11-22,18
2010-11-23,19
2010-11-24,20
2010-11-25,21
2010-11-26,22
2010-11-27,23
2010-11-28,23
2010-12-05,26
2010-12-06,26
2010-12-07,25
2010-12-08,24
2010-12-09,24
2010-12-10,23
2010-12-11,23
2010-12-12,22
2010-12-13,22
2010-12-14,21
2010-12-15,21
2010-12-16,20
2010-12-17,20
2010-12-18,20
2010-12-19,20
2010-12-20,20
2010-12-21,20
2010-12-22,20
2010-12-23,20
2010-12-24,20
2010-12-25,21
2010-12-26,21
2010-12-27,21
2010-12-28,21
2010-12-29,21
2010-12-30,21
2010-12-31,21
2011-01-01,21
2011-01-02,21
2011-01-03,21
2011-01-04,21
2011-01-05,21
2011-01-06,21
2011-01-07,21
2011-01-08,21
2011-01-09,21
2011-01-10,22
2011-01-11,23
2011-01-12,24
2011-01-13,25
2011-01-14,26
2011-01-15,27
2011-01-16,26
2011-01-17,25
2011-01-18,24
2011-01-19,23
2011-01-20,23
2011-01-21,22
2011-01-22,21
2011-01-23,20
2011-01-24,19
2011-01-25,18
2011-01-26,17
2011-01-27,16
2011-01-28,15
2011-01-29,15
2011-01-30,16
2011-01-31,17
2011-02-01,18
2011-02-02,20
2011-02-03,21
2011-02-04,22
2011-02-05,24
2011-02-06,24
2011-02-07,25
2011-02-08,25
2011-02-09,26
2011-02-10,27
2011-02-11,27
2011-02-12,28
2011-02-13,28
2011-02-14,28
2011-02-15,28
2011-02-16,28
2011-02-17,28
2011-02-18,28
2011-02-19,28
2011-02-20,27
2011-02-21,26
2011-02-22,25
2011-02-23,24
2011-02-24,23
2011-02-25,22
2011-02-26,21
2011-02-27,21
2011-03-06,25
2011-03-07,24
2011-03-08,24
2011-03-09,23
2011-03-10,23
2011-03-11,22
2011-03-12,22
2011-03-13,22
2011-03-14,23
2011-03-15,23
2011-03-16,24
2011-03-17,24
2011-03-18,25
2011-03-19,26
2011-03-20,25
2011-03-21,25
2011-03-22,24
2011-03-23,24
2011-03-24,23
2011-03-25,23
2011-03-26,23
2011-03-27,23
2011-03-28,24
2011-03-29,25
2011-03-30,25
2011-03-31,26
2011-04-01,27
2011-04-02,28
2011-04-03,28
2011-04-04,28
2011-04-05,28
2011-04-06,28
2011-04-07,28
2011-04-08,29
2011-04-09,29
2011-04-10,28
2011-04-11,26
2011-04-12,25
2011-04-13,24
2011-04-14,23
2011-04-15,22
2011-04-16,21
2011-04-17,20
2011-04-18,19
2011-04-19,19
2011-04-20,18
2011-04-21,18
2011-04-22,17
2011-04-23,17
2011-04-24,16
2011-04-25,16
2011-04-26,16
2011-04-27,16
2011-04-28,16
2011-04-29,16
2011-04-30,16
2011-05-01,16
2011-05-02,17
2011-05-03,18
2011-05-04,19
2011-05-05,20
2011-05-06,21
2011-05-07,22
2011-05-08,23
2011-05-09,24
2011-05-10,25
2011-05-11,26
2011-05-12,27
2011-05-13,28
2011-05-14,29
2011-05-15,28
2011-05-16,26
2011-05-17,25
2011-05-18,23
2011-05-19,22
2011-05-20,21
2011-05-21,20
2011-05-22,20
2011-05-23,20
2011-05-24,21
2011-05-25,21
2011-05-26,22
2011-05-27,22
2011-05-28,23
2011-05-29,23
