Date,RPX Corporation
2011-09-13,30
2011-09-14,33
2011-09-15,36
2011-09-16,39
2011-09-17,42
2011-09-18,42
2011-09-19,43
2011-09-20,43
2011-09-21,43
2011-09-22,44
2011-09-23,44
2011-09-24,44
2011-09-25,41
2011-10-02,24
2011-10-03,26
2011-10-04,28
2011-10-05,31
2011-10-06,33
2011-10-07,35
2011-10-08,38
2011-10-09,37
2011-10-10,36
2011-10-11,35
2011-10-12,34
2011-10-13,33
2011-10-14,32
2011-10-15,31
2011-10-16,31
2011-10-17,32
2011-10-18,33
2011-10-19,34
2011-10-20,34
2011-10-21,35
2011-10-22,36
2011-10-23,34
2011-10-24,32
2011-10-25,31
2011-10-26,29
2011-10-27,28
2011-10-28,26
2011-10-29,25
2011-10-30,25
2011-10-31,26
2011-11-01,27
2011-11-02,28
2011-11-03,28
2011-11-04,29
2011-11-05,30
2011-11-06,30
2011-11-07,30
2011-11-08,30
2011-11-09,31
2011-11-10,31
2011-11-11,31
2011-11-12,32
2011-11-13,32
2011-11-14,32
2011-11-15,32
2011-11-16,32
2011-11-17,32
2011-11-18,32
2011-11-19,32
2011-11-20,31
2011-11-21,30
2011-11-22,29
2011-11-23,28
2011-11-24,27
2011-11-25,26
2011-11-26,26
2011-11-27,25
2011-11-28,25
2011-11-29,25
2011-11-30,25
2011-12-01,25
2011-12-02,25
2011-12-03,25
2011-12-04,25
2011-12-05,26
2011-12-06,26
2011-12-07,27
2011-12-08,27
2011-12-09,28
2011-12-10,29
2011-12-11,29
2011-12-12,29
2011-12-13,29
2011-12-14,29
2011-12-15,29
2011-12-16,29
2011-12-17,29
2011-12-18,28
2011-12-19,28
2011-12-20,28
2011-12-21,28
2011-12-22,28
2011-12-23,28
2011-12-24,28
2011-12-25,27
2012-01-01,26
2012-01-02,28
2012-01-03,30
2012-01-04,32
2012-01-05,33
2012-01-06,35
2012-01-07,37
2012-01-08,35
2012-01-09,34
2012-01-10,33
2012-01-11,31
2012-01-12,30
2012-01-13,29
2012-01-14,28
2012-01-15,27
2012-01-16,27
2012-01-17,27
2012-01-18,26
2012-01-19,26
2012-01-20,26
2012-01-21,26
2012-01-22,25
2012-01-23,24
2012-01-24,23
2012-01-25,23
2012-01-26,22
2012-01-27,21
2012-01-28,21
2012-01-29,22
2012-01-30,23
2012-01-31,25
2012-02-01,26
2012-02-02,28
2012-02-03,29
2012-02-04,31
2012-02-05,32
2012-02-06,33
2012-02-07,35
2012-02-08,36
2012-02-09,38
2012-02-10,39
2012-02-11,41
2012-02-12,39
2012-02-13,37
2012-02-14,35
2012-02-15,33
2012-02-16,31
2012-02-17,29
2012-02-18,28
2012-02-19,27
2012-02-20,26
2012-02-21,25
2012-02-22,24
2012-02-23,23
2012-02-24,22
2012-02-25,22
2012-02-26,22
2012-02-27,23
2012-02-28,23
2012-02-29,24
2012-03-01,25
2012-03-02,25
2012-03-03,26
2012-03-04,25
2012-03-05,24
2012-03-06,24
2012-03-07,23
2012-03-08,23
2012-03-09,22
2012-03-10,22
2012-03-11,23
2012-03-12,25
2012-03-13,26
2012-03-14,28
2012-03-15,30
2012-03-16,31
2012-03-17,33
2012-03-18,33
2012-03-19,33
2012-03-20,33
2012-03-21,34
2012-03-22,34
2012-03-23,34
2012-03-24,35
2012-03-25,33
2012-04-01,26
2012-04-02,26
2012-04-03,26
2012-04-04,26
2012-04-05,26
2012-04-06,26
2012-04-07,26
2012-04-08,25
2012-04-09,24
2012-04-10,23
2012-04-11,22
2012-04-12,21
2012-04-13,20
2012-04-14,20
2012-04-15,21
2012-04-16,22
2012-04-17,23
2012-04-18,25
2012-04-19,26
2012-04-20,27
2012-04-21,29
2012-04-22,28
2012-04-23,27
2012-04-24,26
2012-04-25,26
2012-04-26,25
2012-04-27,24
2012-04-28,24
2012-04-29,25
2012-04-30,27
2012-05-01,29
2012-05-02,31
2012-05-03,33
2012-05-04,35
2012-05-05,37
2012-05-06,36
2012-05-07,36
2012-05-08,35
2012-05-09,35
2012-05-10,34
2012-05-11,34
2012-05-12,34
2012-05-13,34
2012-05-14,35
2012-05-15,36
2012-05-16,37
2012-05-17,37
2012-05-18,38
2012-05-19,39
2012-05-20,37
2012-05-21,35
2012-05-22,34
2012-05-23,32
2012-05-24,31
2012-05-25,29
2012-05-26,28
2012-05-27,28
2012-05-28,29
2012-05-29,30
2012-05-30,31
2012-05-31,32
2012-06-01,33
2012-06-02,34
2012-06-03,33
2012-06-04,32
2012-06-05,32
2012-06-06,31
2012-06-07,31
2012-06-08,30
2012-06-09,30
2012-06-10,30
2012-06-11,30
2012-06-12,30
2012-06-13,30
2012-06-14,30
2012-06-15,30
2012-06-16,30
2012-06-17,28
2012-06-18,27
2012-06-19,25
2012-06-20,24
2012-06-21,22
2012-06-22,21
2012-06-23,20
2012-06-24,22
