Date,Palo Alto Networks
2012-08-21,24
2012-08-22,23
2012-08-23,23
2012-08-24,22
2012-08-25,22
2012-08-26,22
2012-08-27,23
2012-08-28,23
2012-08-29,24
2012-08-30,24
2012-08-31,25
2012-09-01,26
2012-09-02,26
2012-09-03,26
2012-09-04,27
2012-09-05,27
2012-09-06,28
2012-09-07,28
2012-09-08,29
2012-09-09,29
2012-09-10,29
2012-09-11,29
2012-09-12,30
2012-09-13,30
2012-09-14,30
2012-09-15,31
2012-09-16,29
2012-09-17,28
2012-09-18,27
2012-09-19,26
2012-09-20,25
2012-09-21,24
2012-09-22,23
2012-09-23,23
2012-09-24,22
2012-09-25,22
2012-09-26,22
2012-09-27,22
2012-09-28,22
2012-09-29,22
2012-09-30,22
2012-10-07,22
2012-10-08,22
2012-10-09,22
2012-10-10,22
2012-10-11,22
2012-10-12,22
2012-10-13,22
2012-10-14,21
2012-10-15,27
2012-10-16,21
2012-10-17,20
2012-10-18,20
2012-10-19,20
2012-10-20,20
2012-10-21,21
2012-10-22,22
2012-10-23,23
2012-10-24,24
2012-10-25,25
2012-10-26,26
2012-10-27,27
2012-10-28,27
2012-10-29,27
2012-10-30,28
2012-10-31,28
2012-11-01,29
2012-11-02,29
2012-11-03,30
2012-11-04,30
2012-11-05,31
2012-11-06,31
2012-11-07,32
2012-11-08,33
2012-11-09,33
2012-11-10,34
2012-11-11,32
2012-11-12,30
2012-11-13,28
2012-11-14,26
2012-11-15,24
2012-11-16,22
2012-11-17,20
2012-11-18,19
2012-11-19,19
2012-11-20,19
2012-11-21,18
2012-11-22,18
2012-11-23,18
2012-11-24,18
2012-11-25,20
2012-11-26,23
2012-11-27,26
2012-11-28,29
2012-11-29,32
2012-11-30,34
2012-12-01,37
2012-12-02,35
2012-12-03,31
2012-12-04,29
2012-12-05,26
2012-12-06,24
2012-12-07,21
2012-12-08,19
2012-12-09,19
2012-12-10,19
2012-12-11,19
2012-12-12,19
2012-12-13,19
2012-12-14,19
2012-12-15,19
2012-12-16,20
2012-12-17,21
2012-12-18,22
2012-12-19,24
2012-12-20,25
2012-12-21,26
2012-12-22,28
2012-12-23,27
2012-12-24,25
2012-12-25,24
2012-12-26,23
2012-12-27,22
2012-12-28,21
2012-12-29,20
2012-12-30,21
2013-01-06,30
2013-01-07,28
2013-01-08,26
2013-01-09,24
2013-01-10,21
2013-01-11,19
2013-01-12,17
2013-01-13,17
2013-01-14,18
2013-01-15,18
2013-01-16,19
2013-01-17,19
2013-01-18,20
2013-01-19,21
2013-01-20,21
2013-01-21,21
2013-01-22,22
2013-01-23,22
2013-01-24,23
2013-01-25,23
2013-01-26,24
2013-01-27,23
2013-01-28,23
2013-01-29,22
2013-01-30,22
2013-01-31,21
2013-02-01,21
2013-02-02,21
2013-02-03,21
2013-02-04,21
2013-02-05,21
2013-02-06,21
2013-02-07,21
2013-02-08,22
2013-02-09,22
2013-02-10,21
2013-02-11,20
2013-02-12,19
2013-02-13,18
2013-02-14,17
2013-02-15,16
2013-02-16,15
2013-02-17,15
2013-02-18,16
2013-02-19,17
2013-02-20,18
2013-02-21,19
2013-02-22,20
2013-02-23,21
2013-02-24,22
2013-02-25,24
2013-02-26,25
2013-02-27,26
2013-02-28,28
2013-03-01,29
2013-03-02,31
2013-03-03,31
2013-03-04,30
2013-03-05,30
2013-03-06,29
2013-03-07,29
2013-03-08,29
2013-03-09,29
2013-03-10,27
2013-03-11,26
2013-03-12,25
2013-03-13,23
2013-03-14,22
2013-03-15,21
2013-03-16,20
2013-03-17,21
2013-03-18,22
2013-03-19,23
2013-03-20,24
2013-03-21,25
2013-03-22,27
2013-03-23,28
2013-03-24,26
2013-03-25,24
2013-03-26,22
2013-03-27,20
2013-03-28,18
2013-03-29,16
2013-03-30,15
2013-03-31,16
2013-04-07,22
2013-04-08,22
2013-04-09,22
2013-04-10,22
2013-04-11,22
2013-04-12,22
2013-04-13,22
2013-04-14,22
2013-04-15,22
2013-04-16,22
2013-04-17,23
2013-04-18,23
2013-04-19,23
2013-04-20,24
2013-04-21,24
2013-04-22,24
2013-04-23,24
2013-04-24,24
2013-04-25,24
2013-04-26,24
2013-04-27,25
2013-04-28,26
2013-04-29,27
2013-04-30,28
2013-05-01,30
2013-05-02,31
2013-05-03,32
2013-05-04,34
2013-05-05,32
2013-05-06,30
2013-05-07,28
2013-05-08,26
2013-05-09,24
2013-05-10,22
2013-05-11,21
2013-05-12,20
2013-05-13,20
2013-05-14,20
2013-05-15,20
2013-05-16,19
2013-05-17,19
2013-05-18,19
2013-05-19,19
2013-05-20,19
2013-05-21,19
2013-05-22,19
2013-05-23,19
2013-05-24,19
2013-05-25,19
2013-05-26,19
2013-05-27,19
2013-05-28,19
2013-05-29,19
2013-05-30,19
2013-05-31,19
2013-06-01,19
2013-06-02,19
2013-06-03,19
2013-06-04,19
2013-06-05,19
2013-06-06,19
2013-06-07,19
2013-06-08,20
2013-06-09,20
2013-06-10,20
2013-06-11,20
2013-06-12,21
2013-06-13,21
2013-06-14,21
2013-06-15,22
2013-06-16,22
2013-06-17,22
2013-06-18,22
2013-06-19,23
2013-06-20,23
2013-06-21,23
2013-06-22,24
2013-06-23,24
2013-06-24,25
2013-06-25,26
2013-06-26,26
2013-06-27,27
2013-06-28,28
2013-06-29,29
2013-06-30,28
2013-07-07,23
2013-07-08,22
2013-07-09,21
2013-07-10,20
2013-07-11,19
2013-07-12,18
2013-07-13,17
2013-07-14,17
2013-07-15,18
2013-07-16,18
2013-07-17,19
2013-07-18,19
2013-07-19,20
2013-07-20,21
2013-07-21,21
2013-07-22,22
2013-07-23,23
2013-07-24,24
2013-07-25,25
2013-07-26,26
2013-07-27,27
2013-07-28,25
2013-07-29,23
2013-07-30,22
2013-07-31,20
2013-08-01,19
2013-08-02,17
2013-08-03,16
2013-08-04,16
2013-08-05,17
2013-08-06,17
2013-08-07,18
2013-08-08,18
2013-08-09,19
2013-08-10,20
2013-08-11,20
2013-08-12,20
2013-08-13,20
2013-08-14,20
2013-08-15,20
2013-08-16,20
2013-08-17,21
2013-08-18,20
2013-08-19,20
2013-08-20,20
2013-08-21,19
2013-08-22,19
2013-08-23,19
2013-08-24,19
2013-08-25,19
2013-08-26,19
2013-08-27,19
2013-08-28,19
2013-08-29,19
2013-08-30,19
2013-08-31,20
2013-09-01,19
2013-09-02,18
2013-09-03,18
2013-09-04,17
2013-09-05,17
2013-09-06,16
2013-09-07,16
2013-09-08,16
2013-09-09,17
2013-09-10,18
2013-09-11,19
2013-09-12,20
2013-09-13,21
2013-09-14,22
2013-09-15,21
2013-09-16,21
2013-09-17,21
2013-09-18,21
2013-09-19,21
2013-09-20,21
2013-09-21,21
2013-09-22,21
2013-09-23,21
2013-09-24,21
2013-09-25,21
2013-09-26,21
2013-09-27,21
2013-09-28,21
2013-09-29,18
