Date,Infoblox
2012-02-22,34
2012-02-23,37
2012-02-24,35
2012-02-25,34
2012-02-26,34
2012-02-27,34
2012-02-28,34
2012-02-29,34
2012-03-01,34
2012-03-02,34
2012-03-03,37
2012-03-04,34
2012-03-05,34
2012-03-06,34
2012-03-07,34
2012-03-08,34
2012-03-09,34
2012-03-10,34
2012-03-11,34
2012-03-12,34
2012-03-13,34
2012-03-14,35
2012-03-15,36
2012-03-16,35
2012-03-17,35
2012-03-18,35
2012-03-19,35
2012-03-20,37
2012-03-21,35
2012-03-22,38
2012-03-23,36
2012-03-24,36
2012-03-25,35
2012-03-26,35
2012-03-27,36
2012-03-28,34
2012-03-29,34
2012-03-30,36
2012-03-31,34
2012-04-01,33
2012-04-02,34
2012-04-03,33
2012-04-04,35
2012-04-05,32
2012-04-06,34
2012-04-07,32
2012-04-08,32
2012-04-09,33
2012-04-10,34
2012-04-11,34
2012-04-12,35
2012-04-13,38
2012-04-14,37
2012-04-15,46
2012-04-16,55
2012-04-17,64
2012-04-18,73
2012-04-19,82
2012-04-20,91
2012-04-21,118
2012-04-22,107
2012-04-23,85
2012-04-24,78
2012-04-25,70
2012-04-26,62
2012-04-27,59
2012-04-28,48
2012-04-29,46
2012-04-30,44
2012-05-01,43
2012-05-02,41
2012-05-03,43
2012-05-04,38
2012-05-05,37
2012-05-06,37
2012-05-07,38
2012-05-08,39
2012-05-09,39
2012-05-10,42
2012-05-11,43
2012-05-12,42
2012-05-13,41
2012-05-14,41
2012-05-15,41
2012-05-16,40
2012-05-17,42
2012-05-18,39
2012-05-19,39
2012-05-20,38
2012-05-21,37
2012-05-22,37
2012-05-23,38
2012-05-24,36
2012-05-25,37
2012-05-26,37
2012-05-27,33
2012-05-28,31
2012-05-29,29
2012-05-30,27
2012-05-31,25
2012-06-01,24
2012-06-02,22
2012-06-03,24
2012-06-04,26
2012-06-05,30
2012-06-06,30
2012-06-07,32
2012-06-08,37
2012-06-09,38
2012-06-10,36
2012-06-11,35
2012-06-12,34
2012-06-13,34
2012-06-14,32
2012-06-15,32
2012-06-16,31
2012-06-17,32
2012-06-18,34
2012-06-19,35
2012-06-20,37
2012-06-21,38
2012-06-22,40
2012-06-23,44
2012-06-24,40
2012-06-25,38
2012-06-26,36
2012-06-27,34
2012-06-28,33
2012-06-29,30
2012-06-30,28
2012-07-01,28
2012-07-02,29
2012-07-03,30
2012-07-04,33
2012-07-05,31
2012-07-06,34
2012-07-07,33
2012-07-08,33
2012-07-09,34
2012-07-10,35
2012-07-11,35
2012-07-12,39
2012-07-13,37
2012-07-14,40
2012-07-15,37
2012-07-16,37
2012-07-17,37
2012-07-18,37
2012-07-19,36
2012-07-20,41
2012-07-21,36
2012-07-22,34
2012-07-23,33
2012-07-24,31
2012-07-25,30
2012-07-26,28
2012-07-27,29
2012-07-28,26
2012-07-29,26
2012-07-30,27
2012-07-31,28
2012-08-01,29
2012-08-02,29
2012-08-03,31
2012-08-04,31
2012-08-05,31
2012-08-06,31
2012-08-07,32
2012-08-08,32
2012-08-09,34
2012-08-10,33
2012-08-11,34
2012-08-12,34
2012-08-13,34
2012-08-14,37
2012-08-15,35
2012-08-16,37
2012-08-17,36
2012-08-18,38
2012-08-19,36
2012-08-20,35
2012-08-21,34
2012-08-22,36
2012-08-23,34
2012-08-24,32
2012-08-25,32
2012-08-26,31
2012-08-27,30
2012-08-28,30
2012-08-29,30
2012-08-30,29
2012-08-31,31
2012-09-01,28
2012-09-02,29
2012-09-03,30
2012-09-04,31
2012-09-05,32
2012-09-06,33
2012-09-07,34
2012-09-08,40
2012-09-09,35
2012-09-10,35
2012-09-11,35
2012-09-12,34
2012-09-13,34
2012-09-14,36
2012-09-15,34
2012-09-16,33
2012-09-17,32
2012-09-18,32
2012-09-19,31
2012-09-20,33
2012-09-21,29
2012-09-22,29
2012-09-23,29
2012-09-24,30
2012-09-25,30
2012-09-26,31
2012-09-27,32
2012-09-28,33
2012-09-29,33
2012-09-30,33
2012-10-01,34
2012-10-02,35
2012-10-03,39
2012-10-04,36
2012-10-05,42
2012-10-06,38
2012-10-07,37
2012-10-08,36
2012-10-09,35
2012-10-10,34
2012-10-11,33
2012-10-12,34
2012-10-13,31
2012-10-14,31
2012-10-15,31
2012-10-16,32
2012-10-17,31
2012-10-18,32
2012-10-19,33
2012-10-20,32
2012-10-21,31
2012-10-22,31
2012-10-23,31
2012-10-24,30
2012-10-25,32
2012-10-26,29
2012-10-27,29
2012-10-28,29
2012-10-29,29
2012-10-30,29
2012-10-31,30
2012-11-01,31
2012-11-02,30
2012-11-03,31
2012-11-04,31
2012-11-05,31
2012-11-06,31
2012-11-07,35
2012-11-08,32
2012-11-09,32
2012-11-10,33
2012-11-11,33
2012-11-12,33
2012-11-13,37
2012-11-14,34
2012-11-15,35
2012-11-16,39
2012-11-17,36
2012-11-18,34
2012-11-19,32
2012-11-20,31
2012-11-21,32
2012-11-22,28
2012-11-23,26
2012-11-24,25
2012-11-25,25
2012-11-26,26
2012-11-27,29
2012-11-28,27
2012-11-29,28
2012-11-30,29
2012-12-01,30
2012-12-02,29
2012-12-03,28
2012-12-04,27
2012-12-05,28
2012-12-06,27
2012-12-07,25
2012-12-08,25
2012-12-09,24
2012-12-10,24
2012-12-11,24
2012-12-12,23
2012-12-13,23
2012-12-14,23
2012-12-15,23
2012-12-16,23
2012-12-17,23
2012-12-18,23
2012-12-19,24
2012-12-20,23
2012-12-21,23
2012-12-22,24
2012-12-23,21
2012-12-24,19
2012-12-25,17
2012-12-26,14
2012-12-27,12
2012-12-28,10
2012-12-29,8
2012-12-30,10
2012-12-31,12
2013-01-01,14
2013-01-02,17
2013-01-03,19
2013-01-04,21
2013-01-05,24
2013-01-06,24
2013-01-07,25
2013-01-08,27
2013-01-09,27
2013-01-10,29
2013-01-11,31
2013-01-12,30
2013-01-13,31
2013-01-14,32
2013-01-15,33
2013-01-16,34
2013-01-17,35
2013-01-18,38
2013-01-19,39
2013-01-20,36
2013-01-21,35
2013-01-22,34
2013-01-23,33
2013-01-24,34
2013-01-25,31
2013-01-26,30
2013-01-27,30
2013-01-28,30
2013-01-29,30
2013-01-30,30
2013-01-31,30
2013-02-01,31
2013-02-02,30
2013-02-03,30
2013-02-04,30
2013-02-05,30
2013-02-06,31
2013-02-07,30
2013-02-08,30
2013-02-09,33
2013-02-10,31
2013-02-11,31
2013-02-12,32
2013-02-13,34
2013-02-14,34
2013-02-15,34
2013-02-16,34
2013-02-17,34
2013-02-18,35
2013-02-19,37
2013-02-20,36
2013-02-21,36
2013-02-22,39
2013-02-23,38
2013-02-24,36
2013-02-25,34
2013-02-26,34
2013-02-27,30
2013-02-28,30
2013-03-01,27
2013-03-02,25
2013-03-03,25
2013-03-04,25
2013-03-05,25
2013-03-06,26
2013-03-07,28
2013-03-08,26
2013-03-09,27
2013-03-10,28
2013-03-11,29
2013-03-12,30
2013-03-13,31
2013-03-14,32
2013-03-15,34
2013-03-16,36
2013-03-17,32
2013-03-18,31
2013-03-19,30
2013-03-20,29
2013-03-21,28
2013-03-22,28
2013-03-23,26
2013-03-24,26
2013-03-25,26
2013-03-26,26
2013-03-27,28
2013-03-28,26
2013-03-29,26
2013-03-30,27
2013-03-31,28
2013-04-01,29
2013-04-02,30
2013-04-03,31
2013-04-04,33
2013-04-05,35
2013-04-06,34
2013-04-07,34
2013-04-08,34
2013-04-09,37
2013-04-10,35
2013-04-11,37
2013-04-12,36
2013-04-13,40
2013-04-14,37
2013-04-15,37
2013-04-16,38
2013-04-17,38
2013-04-18,39
2013-04-19,39
2013-04-20,42
2013-04-21,39
2013-04-22,38
2013-04-23,38
2013-04-24,37
2013-04-25,38
2013-04-26,36
2013-04-27,38
2013-04-28,35
2013-04-29,35
2013-04-30,34
2013-05-01,34
2013-05-02,33
2013-05-03,33
2013-05-04,34
2013-05-05,33
2013-05-06,33
2013-05-07,33
2013-05-08,33
2013-05-09,33
2013-05-10,34
2013-05-11,33
2013-05-12,33
2013-05-13,33
2013-05-14,33
2013-05-15,35
2013-05-16,35
2013-05-17,34
2013-05-18,35
2013-05-19,35
2013-05-20,36
2013-05-21,36
2013-05-22,37
2013-05-23,38
2013-05-24,40
2013-05-25,40
2013-05-26,37
2013-05-27,36
2013-05-28,35
2013-05-29,34
2013-05-30,32
2013-05-31,34
2013-06-01,30
2013-06-02,30
2013-06-03,30
2013-06-04,30
2013-06-05,30
2013-06-06,31
2013-06-07,30
2013-06-08,30
2013-06-09,29
2013-06-10,29
2013-06-11,30
2013-06-12,29
2013-06-13,30
2013-06-14,29
2013-06-15,29
2013-06-16,30
2013-06-17,31
2013-06-18,34
2013-06-19,33
2013-06-20,35
2013-06-21,35
2013-06-22,37
2013-06-23,36
2013-06-24,36
2013-06-25,35
2013-06-26,36
2013-06-27,34
2013-06-28,36
2013-06-29,34
2013-06-30,32
