Date,Chimerix
2013-05-10,26
2013-05-11,26
2013-05-12,25
2013-05-13,25
2013-05-14,24
2013-05-15,23
2013-05-16,23
2013-05-17,22
2013-05-18,22
2013-05-19,21
2013-05-20,20
2013-05-21,20
2013-05-22,19
2013-05-23,19
2013-05-24,18
2013-05-25,18
2013-05-26,17
2013-06-01,14
2013-06-02,14
2013-06-03,14
2013-06-04,15
2013-06-05,15
2013-06-06,16
2013-06-07,16
2013-06-08,16
2013-06-09,17
2013-06-10,17
2013-06-11,18
2013-06-12,18
2013-06-13,18
2013-06-14,19
2013-06-15,19
2013-06-16,20
2013-06-17,20
2013-06-18,20
2013-06-19,21
2013-06-20,21
2013-06-21,22
2013-06-22,22
2013-06-23,22
2013-06-24,23
2013-06-25,23
2013-06-26,24
2013-06-27,24
2013-06-28,24
2013-06-29,25
2013-06-30,25
2013-07-01,26
2013-07-02,26
2013-07-03,26
2013-07-04,26
2013-07-05,26
2013-07-06,26
2013-07-07,26
2013-07-08,26
2013-07-09,27
2013-07-10,27
2013-07-11,27
2013-07-12,27
2013-07-13,27
2013-07-14,27
2013-07-15,27
2013-07-16,27
2013-07-17,28
2013-07-18,28
2013-07-19,28
2013-07-20,28
2013-07-21,28
2013-07-22,28
2013-07-23,28
2013-07-24,28
2013-07-25,29
2013-07-26,29
2013-07-27,29
2013-07-28,29
2013-07-29,29
2013-07-30,29
2013-07-31,29
2013-08-01,30
2013-08-02,30
2013-08-03,30
2013-08-04,30
2013-08-05,30
2013-08-06,30
2013-08-07,30
2013-08-08,30
2013-08-09,30
2013-08-10,30
2013-08-11,30
2013-08-12,31
2013-08-13,31
2013-08-14,31
2013-08-15,31
2013-08-16,31
2013-08-17,31
2013-08-18,31
2013-08-19,31
2013-08-20,31
2013-08-21,31
2013-08-22,32
2013-08-23,32
2013-08-24,32
2013-08-25,32
2013-08-26,32
2013-08-27,32
2013-08-28,32
2013-08-29,32
2013-08-30,32
2013-08-31,32
2013-09-01,33
2013-09-02,33
2013-09-03,33
2013-09-04,33
2013-09-05,33
2013-09-06,33
2013-09-07,33
2013-09-08,33
2013-09-09,33
2013-09-10,33
2013-09-11,34
2013-09-12,34
2013-09-13,34
2013-09-14,34
2013-09-15,34
2013-09-16,34
2013-09-17,34
2013-09-18,34
2013-09-19,34
2013-09-20,34
2013-09-21,35
2013-09-22,35
2013-09-23,35
2013-09-24,35
2013-09-25,35
2013-09-26,35
2013-09-27,35
2013-09-28,35
2013-09-29,35
2013-09-30,35
2013-10-01,36
2013-10-02,35
2013-10-03,35
2013-10-04,35
2013-10-05,34
2013-10-06,34
2013-10-07,34
2013-10-08,33
2013-10-09,33
2013-10-10,33
2013-10-11,33
2013-10-12,32
2013-10-13,32
2013-10-14,32
2013-10-15,31
2013-10-16,31
2013-10-17,31
2013-10-18,31
2013-10-19,30
2013-10-20,30
2013-10-21,30
2013-10-22,29
2013-10-23,29
2013-10-24,29
2013-10-25,29
2013-10-26,28
2013-10-27,28
2013-10-28,28
2013-10-29,27
2013-10-30,27
2013-10-31,27
2013-11-01,27
2013-11-02,26
2013-11-03,26
2013-11-04,26
2013-11-05,25
2013-11-06,25
2013-11-07,25
2013-11-08,24
2013-11-09,24
2013-11-10,24
2013-11-11,24
2013-11-12,23
2013-11-13,23
2013-11-14,23
2013-11-15,22
2013-11-16,22
2013-11-17,22
2013-11-18,21
2013-11-19,21
2013-11-20,21
2013-11-21,21
2013-11-22,20
2013-11-23,20
2013-11-24,20
2013-11-25,19
2013-11-26,19
2013-11-27,19
2013-11-28,18
2013-11-29,18
2013-11-30,18
2013-12-01,18
2013-12-02,18
2013-12-03,18
2013-12-04,18
2013-12-05,19
2013-12-06,19
2013-12-07,19
2013-12-08,19
2013-12-09,20
2013-12-10,20
2013-12-11,20
2013-12-12,20
2013-12-13,21
2013-12-14,21
2013-12-15,21
2013-12-16,21
2013-12-17,22
2013-12-18,22
2013-12-19,22
2013-12-20,22
2013-12-21,23
2013-12-22,23
2013-12-23,23
2013-12-24,23
2013-12-25,24
2013-12-26,24
2013-12-27,24
2013-12-28,24
2013-12-29,25
2013-12-30,25
2013-12-31,25
2014-01-01,26
