Date,Nimble Storage
2013-08-11,28
2013-08-12,29
2013-08-13,30
2013-08-14,33
2013-08-15,33
2013-08-16,36
2013-08-17,36
2013-08-18,35
2013-08-19,35
2013-08-20,36
2013-08-21,36
2013-08-22,34
2013-08-23,34
2013-08-24,35
2013-08-25,33
2013-08-26,32
2013-08-27,31
2013-08-28,30
2013-08-29,29
2013-08-30,28
2013-08-31,27
2013-09-01,26
2013-09-02,25
2013-09-03,25
2013-09-04,26
2013-09-05,24
2013-09-06,24
2013-09-07,23
2013-09-08,23
2013-09-09,24
2013-09-10,24
2013-09-11,25
2013-09-12,26
2013-09-13,26
2013-09-14,27
2013-09-15,27
2013-09-16,27
2013-09-17,27
2013-09-18,28
2013-09-19,27
2013-09-20,27
2013-09-21,27
2013-09-22,27
2013-09-23,28
2013-09-24,29
2013-09-25,29
2013-09-26,30
2013-09-27,33
2013-09-28,32
2013-09-29,31
2013-09-30,30
2013-10-01,29
2013-10-02,29
2013-10-03,30
2013-10-04,27
2013-10-05,27
2013-10-06,27
2013-10-07,27
2013-10-08,27
2013-10-09,27
2013-10-10,27
2013-10-11,27
2013-10-12,28
2013-10-13,29
2013-10-14,31
2013-10-15,33
2013-10-16,34
2013-10-17,37
2013-10-18,38
2013-10-19,44
2013-10-20,43
2013-10-21,42
2013-10-22,47
2013-10-23,45
2013-10-24,47
2013-10-25,56
2013-10-26,50
2013-10-27,48
2013-10-28,46
2013-10-29,44
2013-10-30,44
2013-10-31,43
2013-11-01,38
2013-11-02,37
2013-11-03,36
2013-11-04,35
2013-11-05,35
2013-11-06,36
2013-11-07,34
2013-11-08,34
2013-11-09,33
2013-11-10,32
2013-11-11,32
2013-11-12,31
2013-11-13,33
2013-11-14,30
2013-11-15,30
2013-11-16,30
2013-11-17,30
2013-11-18,30
2013-11-19,32
2013-11-20,30
2013-11-21,30
2013-11-22,30
2013-11-23,30
2013-11-24,28
2013-11-25,27
2013-11-26,25
2013-11-27,24
2013-11-28,22
2013-11-29,21
2013-11-30,20
2013-12-01,23
2013-12-02,26
2013-12-03,30
2013-12-04,35
2013-12-05,37
2013-12-06,42
2013-12-07,45
2013-12-08,52
2013-12-09,60
2013-12-10,68
2013-12-11,76
2013-12-12,84
2013-12-13,92
2013-12-14,110
2013-12-15,108
2013-12-16,90
2013-12-17,88
2013-12-18,84
2013-12-19,79
2013-12-20,78
2013-12-21,67
2013-12-22,60
2013-12-23,54
2013-12-24,48
2013-12-25,41
2013-12-26,35
2013-12-27,29
2013-12-28,23
2013-12-29,23
2013-12-30,23
2013-12-31,23
2014-01-01,24
2014-01-02,24
2014-01-03,25
2014-01-04,25
2014-01-05,26
2014-01-06,28
2014-01-07,29
2014-01-08,31
2014-01-09,32
2014-01-10,34
2014-01-11,39
2014-01-12,36
2014-01-13,36
2014-01-14,36
2014-01-15,36
2014-01-16,37
2014-01-17,36
2014-01-18,37
2014-01-19,35
2014-01-20,35
2014-01-21,35
2014-01-22,35
2014-01-23,35
2014-01-24,37
2014-01-25,35
2014-01-26,34
2014-01-27,34
2014-01-28,35
2014-01-29,34
2014-01-30,35
2014-01-31,34
2014-02-01,35
2014-02-02,33
2014-02-03,32
2014-02-04,35
2014-02-05,31
2014-02-06,32
2014-02-07,29
2014-02-08,29
2014-02-09,29
2014-02-10,30
2014-02-11,30
2014-02-12,32
2014-02-13,31
2014-02-14,33
2014-02-15,34
2014-02-16,33
2014-02-17,33
2014-02-18,33
2014-02-19,33
2014-02-20,33
2014-02-21,33
2014-02-22,33
2014-02-23,35
2014-02-24,37
2014-02-25,43
2014-02-26,41
2014-02-27,45
2014-02-28,45
