Date,Ambarella
2011-06-11,27
2011-06-12,31
2011-06-13,36
2011-06-14,40
2011-06-15,44
2011-06-16,49
2011-06-17,53
2011-06-18,58
2011-06-19,54
2011-06-20,49
2011-06-21,45
2011-06-22,41
2011-06-23,37
2011-06-24,33
2011-06-25,30
2011-06-26,31
2011-06-27,33
2011-06-28,35
2011-06-29,37
2011-06-30,38
2011-07-01,40
2011-07-02,42
2011-07-03,40
2011-07-04,38
2011-07-05,36
2011-07-06,34
2011-07-07,32
2011-07-08,30
2011-07-09,28
2011-07-10,28
2011-07-11,28
2011-07-12,29
2011-07-13,29
2011-07-14,29
2011-07-15,30
2011-07-16,30
2011-07-17,31
2011-07-18,32
2011-07-19,34
2011-07-20,35
2011-07-21,37
2011-07-22,38
2011-07-23,40
2011-07-24,40
2011-07-25,40
2011-07-26,40
2011-07-27,40
2011-07-28,40
2011-07-29,40
2011-07-30,41
2011-07-31,41
2011-08-01,41
2011-08-02,41
2011-08-03,41
2011-08-04,41
2011-08-05,42
2011-08-06,42
2011-08-07,40
2011-08-08,37
2011-08-09,35
2011-08-10,33
2011-08-11,31
2011-08-12,29
2011-08-13,27
2011-08-14,27
2011-08-15,27
2011-08-16,27
2011-08-17,27
2011-08-18,27
2011-08-19,27
2011-08-20,27
2011-08-21,27
2011-08-22,28
2011-08-23,28
2011-08-24,29
2011-08-25,30
2011-08-26,30
2011-08-27,31
2011-08-28,30
2011-09-04,25
2011-09-05,25
2011-09-06,25
2011-09-07,25
2011-09-08,25
2011-09-09,25
2011-09-10,25
2011-09-11,26
2011-09-12,26
2011-09-13,27
2011-09-14,28
2011-09-15,29
2011-09-16,30
2011-09-17,31
2011-09-18,31
2011-09-19,32
2011-09-20,33
2011-09-21,34
2011-09-22,35
2011-09-23,36
2011-09-24,37
2011-09-25,37
2011-09-26,39
2011-09-27,39
2011-09-28,40
2011-09-29,41
2011-09-30,42
2011-10-01,43
2011-10-02,41
2011-10-03,38
2011-10-04,36
2011-10-05,33
2011-10-06,31
2011-10-07,29
2011-10-08,27
2011-10-09,26
2011-10-10,26
2011-10-11,25
2011-10-12,25
2011-10-13,25
2011-10-14,24
2011-10-15,24
2011-10-16,25
2011-10-17,26
2011-10-18,27
2011-10-19,29
2011-10-20,30
2011-10-21,31
2011-10-22,33
2011-10-23,32
2011-10-24,31
2011-10-25,30
2011-10-26,29
2011-10-27,28
2011-10-28,27
2011-10-29,26
2011-10-30,26
2011-10-31,26
2011-11-01,26
2011-11-02,27
2011-11-03,27
2011-11-04,27
2011-11-05,28
2011-11-06,31
2011-11-07,34
2011-11-08,37
2011-11-09,40
2011-11-10,43
2011-11-11,46
2011-11-12,50
2011-11-13,49
2011-11-14,49
2011-11-15,48
2011-11-16,47
2011-11-17,47
2011-11-18,46
2011-11-19,45
2011-11-20,43
2011-11-21,40
2011-11-22,37
2011-11-23,35
2011-11-24,32
2011-11-25,30
2011-11-26,28
2011-11-27,28
2011-12-04,27
2011-12-05,27
2011-12-06,26
2011-12-07,26
2011-12-08,26
2011-12-09,25
2011-12-10,25
2011-12-11,25
2011-12-12,25
2011-12-13,25
2011-12-14,25
2011-12-15,25
2011-12-16,25
2011-12-17,25
2011-12-18,26
2011-12-19,27
2011-12-20,28
2011-12-21,29
2011-12-22,30
2011-12-23,31
2011-12-24,33
2011-12-25,34
2011-12-26,35
2011-12-27,36
2011-12-28,37
2011-12-29,38
2011-12-30,39
2011-12-31,41
2012-01-01,42
2012-01-02,43
2012-01-03,44
2012-01-04,46
2012-01-05,47
2012-01-06,48
2012-01-07,49
2012-01-08,46
2012-01-09,41
2012-01-10,38
2012-01-11,34
2012-01-12,31
2012-01-13,27
2012-01-14,24
2012-01-15,25
2012-01-16,26
2012-01-17,27
2012-01-18,28
2012-01-19,29
2012-01-20,31
2012-01-21,32
2012-01-22,30
2012-01-23,28
2012-01-24,26
2012-01-25,25
2012-01-26,23
2012-01-27,21
2012-01-28,20
2012-01-29,21
2012-01-30,22
2012-01-31,23
2012-02-01,25
2012-02-02,26
2012-02-03,27
2012-02-04,29
2012-02-05,30
2012-02-06,31
2012-02-07,32
2012-02-08,33
2012-02-09,34
2012-02-10,35
2012-02-11,37
2012-02-12,36
2012-02-13,35
2012-02-14,34
2012-02-15,33
2012-02-16,32
2012-02-17,31
2012-02-18,30
2012-02-19,28
2012-02-20,27
2012-02-21,26
2012-02-22,25
2012-02-23,24
2012-02-24,23
2012-02-25,22
2012-02-26,22
2012-03-04,27
2012-03-05,27
2012-03-06,27
2012-03-07,26
2012-03-08,26
2012-03-09,26
2012-03-10,26
2012-03-11,28
2012-03-12,30
2012-03-13,32
2012-03-14,34
2012-03-15,36
2012-03-16,38
2012-03-17,41
2012-03-18,40
2012-03-19,39
2012-03-20,38
2012-03-21,37
2012-03-22,36
2012-03-23,35
2012-03-24,34
2012-03-25,34
2012-03-26,34
2012-03-27,34
2012-03-28,34
2012-03-29,34
2012-03-30,34
2012-03-31,34
2012-04-01,32
2012-04-02,30
2012-04-03,28
2012-04-04,27
2012-04-05,25
2012-04-06,23
2012-04-07,22
2012-04-08,22
2012-04-09,22
2012-04-10,22
2012-04-11,22
2012-04-12,22
2012-04-13,22
2012-04-14,22
2012-04-15,24
2012-04-16,26
2012-04-17,28
2012-04-18,30
2012-04-19,32
2012-04-20,34
2012-04-21,37
2012-04-22,34
2012-04-23,31
2012-04-24,29
2012-04-25,26
2012-04-26,24
2012-04-27,21
2012-04-28,19
2012-04-29,24
2012-04-30,29
2012-05-01,35
2012-05-02,40
2012-05-03,45
2012-05-04,51
2012-05-05,56
2012-05-06,54
2012-05-07,52
2012-05-08,50
2012-05-09,48
2012-05-10,46
2012-05-11,44
2012-05-12,42
2012-05-13,39
2012-05-14,37
2012-05-15,35
2012-05-16,33
2012-05-17,31
2012-05-18,29
2012-05-19,27
2012-05-20,27
2012-05-21,27
2012-05-22,27
2012-05-23,27
2012-05-24,27
2012-05-25,27
2012-05-26,27
2012-05-27,26
2012-06-03,24
2012-06-04,25
2012-06-05,27
2012-06-06,28
2012-06-07,30
2012-06-08,31
2012-06-09,33
2012-06-10,33
2012-06-11,33
2012-06-12,33
2012-06-13,33
2012-06-14,34
2012-06-15,34
2012-06-16,34
2012-06-17,32
2012-06-18,30
2012-06-19,28
2012-06-20,26
2012-06-21,24
2012-06-22,22
2012-06-23,21
2012-06-24,21
2012-06-25,22
2012-06-26,23
2012-06-27,24
2012-06-28,25
2012-06-29,26
2012-06-30,27
2012-07-01,29
2012-07-02,31
2012-07-03,34
2012-07-04,36
2012-07-05,38
2012-07-06,41
2012-07-07,43
2012-07-08,41
2012-07-09,39
2012-07-10,38
2012-07-11,36
2012-07-12,35
2012-07-13,33
2012-07-14,32
2012-07-15,31
2012-07-16,31
2012-07-17,30
2012-07-18,30
2012-07-19,29
2012-07-20,29
2012-07-21,29
2012-07-22,30
2012-07-23,31
2012-07-24,33
2012-07-25,34
2012-07-26,35
2012-07-27,37
2012-07-28,38
2012-07-29,37
2012-07-30,35
2012-07-31,34
2012-08-01,32
2012-08-02,31
2012-08-03,30
2012-08-04,29
2012-08-05,28
2012-08-06,28
2012-08-07,28
2012-08-08,28
2012-08-09,28
2012-08-10,28
2012-08-11,28
2012-08-12,28
2012-08-13,29
2012-08-14,29
2012-08-15,30
2012-08-16,30
2012-08-17,31
2012-08-18,32
2012-08-19,31
2012-08-20,30
2012-08-21,30
2012-08-22,29
2012-08-23,29
2012-08-24,28
2012-08-25,28
2012-08-26,28
2012-09-02,27
2012-09-03,26
2012-09-04,25
2012-09-05,24
2012-09-06,23
2012-09-07,22
2012-09-08,21
2012-09-09,22
2012-09-10,24
2012-09-11,25
2012-09-12,27
2012-09-13,28
2012-09-14,30
2012-09-15,32
2012-09-16,33
2012-09-17,34
2012-09-18,35
2012-09-19,36
2012-09-20,37
2012-09-21,38
2012-09-22,39
2012-09-23,43
2012-09-24,47
2012-09-25,51
2012-09-26,56
2012-09-27,60
2012-09-28,64
2012-09-29,68
2012-09-30,65
2012-10-01,61
2012-10-02,58
2012-10-03,54
2012-10-04,51
2012-10-05,48
2012-10-06,45
2012-10-07,52
2012-10-08,61
2012-10-09,69
2012-10-10,77
2012-10-11,84
2012-10-12,92
2012-10-13,100
2012-10-14,93
2012-10-15,86
2012-10-16,79
2012-10-17,72
2012-10-18,65
2012-10-19,58
2012-10-20,51
2012-10-21,49
2012-10-22,48
2012-10-23,46
2012-10-24,44
2012-10-25,42
2012-10-26,41
2012-10-27,39
2012-10-28,37
2012-10-29,34
2012-10-30,32
2012-10-31,29
2012-11-01,27
2012-11-02,25
2012-11-03,23
2012-11-04,23
2012-11-05,24
2012-11-06,25
2012-11-07,26
2012-11-08,27
2012-11-09,28
2012-11-10,29
2012-11-11,30
2012-11-12,31
2012-11-13,32
2012-11-14,34
2012-11-15,35
2012-11-16,36
2012-11-17,38
2012-11-18,39
2012-11-19,40
2012-11-20,42
2012-11-21,43
2012-11-22,44
2012-11-23,46
2012-11-24,47
2012-11-25,44
