Date,Univar
2010-11-30,76
2010-12-01,79
2010-12-02,77
2010-12-03,78
2010-12-04,88
2010-12-05,78
2010-12-06,77
2010-12-07,80
2010-12-08,77
2010-12-09,76
2010-12-10,73
2010-12-11,73
2010-12-12,72
2010-12-13,71
2010-12-14,72
2010-12-15,70
2010-12-16,69
2010-12-17,75
2010-12-18,73
2010-12-19,65
2010-12-20,62
2010-12-21,59
2010-12-22,56
2010-12-23,56
2010-12-24,50
2010-12-25,47
2010-12-26,46
2010-12-27,46
2010-12-28,46
2010-12-29,45
2010-12-30,48
2010-12-31,45
2011-01-01,45
2011-01-02,49
2011-01-03,53
2011-01-04,57
2011-01-05,61
2011-01-06,66
2011-01-07,73
2011-01-08,73
2011-01-09,73
2011-01-10,74
2011-01-11,74
2011-01-12,75
2011-01-13,75
2011-01-14,79
2011-01-15,77
2011-01-16,77
2011-01-17,77
2011-01-18,77
2011-01-19,79
2011-01-20,77
2011-01-21,83
2011-01-22,78
2011-01-23,77
2011-01-24,76
2011-01-25,81
2011-01-26,75
2011-01-27,74
2011-01-28,73
2011-01-29,75
2011-01-30,72
2011-01-31,72
2011-02-01,72
2011-02-02,72
2011-02-03,72
2011-02-04,73
2011-02-05,72
2011-02-06,72
2011-02-07,72
2011-02-08,74
2011-02-09,74
2011-02-10,72
2011-02-11,72
2011-02-12,79
2011-02-13,74
2011-02-14,75
2011-02-15,77
2011-02-16,77
2011-02-17,83
2011-02-18,81
2011-02-19,81
2011-02-20,78
2011-02-21,76
2011-02-22,74
2011-02-23,75
2011-02-24,70
2011-02-25,68
2011-02-26,67
2011-02-27,66
2011-02-28,66
2011-03-01,67
2011-03-02,73
2011-03-03,68
2011-03-04,68
2011-03-05,69
2011-03-06,71
2011-03-07,73
2011-03-08,82
2011-03-09,78
2011-03-10,85
2011-03-11,87
2011-03-12,86
2011-03-13,82
2011-03-14,78
2011-03-15,76
2011-03-16,71
2011-03-17,74
2011-03-18,64
2011-03-19,66
2011-03-20,63
2011-03-21,64
2011-03-22,65
2011-03-23,70
2011-03-24,68
2011-03-25,75
2011-03-26,72
2011-03-27,71
2011-03-28,70
2011-03-29,72
2011-03-30,69
2011-03-31,69
2011-05-01,89
2011-05-02,88
2011-05-03,87
2011-05-04,87
2011-05-05,89
2011-05-06,89
2011-05-07,85
2011-05-08,86
2011-05-09,87
2011-05-10,92
2011-05-11,90
2011-05-12,91
2011-05-13,97
2011-05-14,94
2011-05-15,91
2011-05-16,88
2011-05-17,85
2011-05-18,86
2011-05-19,79
2011-05-20,78
2011-05-21,77
2011-05-22,74
2011-05-23,75
2011-05-24,76
2011-05-25,77
2011-05-26,83
2011-05-27,86
2011-05-28,81
2011-05-29,78
2011-05-30,76
2011-05-31,74
2011-06-01,72
2011-06-02,75
2011-06-03,69
2011-06-04,66
2011-06-05,67
2011-06-06,68
2011-06-07,69
2011-06-08,70
2011-06-09,71
2011-06-10,79
2011-06-11,74
2011-06-12,72
2011-06-13,70
2011-06-14,69
2011-06-15,67
2011-06-16,70
2011-06-17,64
2011-06-18,63
2011-06-19,66
2011-06-20,70
2011-06-21,74
2011-06-22,77
2011-06-23,84
2011-06-24,85
2011-06-25,101
2011-06-26,86
2011-06-27,84
2011-06-28,82
2011-06-29,83
2011-06-30,78
2011-07-01,80
2011-07-02,75
2011-07-03,77
2011-07-04,80
2011-07-05,83
2011-07-06,87
2011-07-07,90
2011-07-08,103
2011-07-09,106
2011-07-10,96
2011-07-11,95
2011-07-12,94
2011-07-13,94
2011-07-14,97
2011-07-15,92
2011-07-16,103
2011-07-17,91
2011-07-18,90
2011-07-19,90
2011-07-20,89
2011-07-21,94
2011-07-22,90
2011-07-23,93
2011-07-24,88
2011-07-25,88
2011-07-26,88
2011-07-27,91
2011-07-28,90
2011-07-29,88
2011-07-30,99
2011-07-31,88
2011-08-01,88
2011-08-02,88
2011-08-03,92
2011-08-04,94
2011-08-05,88
2011-08-06,98
2011-08-07,86
2011-08-08,85
2011-08-09,87
2011-08-10,82
2011-08-11,83
2011-08-12,81
2011-08-13,78
2011-08-14,76
2011-08-15,75
2011-08-16,73
2011-08-17,75
2011-08-18,70
2011-08-19,74
2011-08-20,68
2011-08-21,69
2011-08-22,70
2011-08-23,71
2011-08-24,74
2011-08-25,74
2011-08-26,74
2011-08-27,77
2011-08-28,74
2011-08-29,73
2011-08-30,72
2011-08-31,73
2011-09-01,69
2011-09-02,72
2011-09-03,72
2011-09-04,68
2011-09-05,70
2011-09-06,71
2011-09-07,77
2011-09-08,74
2011-09-09,78
2011-09-10,87
2011-09-11,78
2011-09-12,78
2011-09-13,81
2011-09-14,80
2011-09-15,78
2011-09-16,78
2011-09-17,80
2011-09-18,77
2011-09-19,75
2011-09-20,73
2011-09-21,71
2011-09-22,72
2011-09-23,69
2011-09-24,65
2011-09-25,67
2011-09-26,69
2011-09-27,71
2011-09-28,75
2011-09-29,78
2011-09-30,79
2011-10-01,89
2011-10-02,81
2011-10-03,81
2011-10-04,83
2011-10-05,92
2011-10-06,83
2011-10-07,83
2011-10-08,92
2011-10-09,83
2011-10-10,82
2011-10-11,81
2011-10-12,81
2011-10-13,79
2011-10-14,80
2011-10-15,77
2011-10-16,77
2011-10-17,77
2011-10-18,84
2011-10-19,78
2011-10-20,87
2011-10-21,78
2011-10-22,89
2011-10-23,78
2011-10-24,77
2011-10-25,76
2011-10-26,80
2011-10-27,74
2011-10-28,73
2011-10-29,78
2011-10-30,75
2011-10-31,75
2011-11-01,77
2011-11-02,83
2011-11-03,80
2011-11-04,84
2011-11-05,88
2011-11-06,83
2011-11-07,83
2011-11-08,82
2011-11-09,82
2011-11-10,81
2011-11-11,85
2011-11-12,82
2011-11-13,80
2011-11-14,79
2011-11-15,78
2011-11-16,78
2011-11-17,77
2011-11-18,84
2011-11-19,76
2011-11-20,75
2011-11-21,74
2011-11-22,74
2011-11-23,79
2011-11-24,73
2011-11-25,77
2011-11-26,73
2011-11-27,71
2011-11-28,71
2011-11-29,71
2011-11-30,74
2011-12-01,70
2011-12-02,72
2011-12-03,75
2011-12-04,71
2011-12-05,73
2011-12-06,75
2011-12-07,76
2011-12-08,84
2011-12-09,80
2011-12-10,89
2011-12-11,82
2011-12-12,82
2011-12-13,82
2011-12-14,83
2011-12-15,85
2011-12-16,88
2011-12-17,86
2011-12-18,80
2011-12-19,78
2011-12-20,81
2011-12-21,74
2011-12-22,75
2011-12-23,72
2011-12-24,68
2011-12-25,63
2011-12-26,59
2011-12-27,55
2011-12-28,55
2011-12-29,46
2011-12-30,42
2011-12-31,38
2012-01-01,42
2012-01-02,47
2012-01-03,53
2012-01-04,56
2012-01-05,60
2012-01-06,67
2012-01-07,70
2012-01-08,70
2012-01-09,70
2012-01-10,71
2012-01-11,71
2012-01-12,72
2012-01-13,73
2012-01-14,73
2012-01-15,72
2012-01-16,71
2012-01-17,70
2012-01-18,71
2012-01-19,69
2012-01-20,67
2012-01-21,76
2012-01-22,66
2012-01-23,66
2012-01-24,65
2012-01-25,65
2012-01-26,64
2012-01-27,68
2012-01-28,64
2012-01-29,64
2012-01-30,65
2012-01-31,67
2012-02-01,67
2012-02-02,69
2012-02-03,70
2012-02-04,70
2012-02-05,71
2012-02-06,72
2012-02-07,73
2012-02-08,78
2012-02-09,76
2012-02-10,80
2012-02-11,81
2012-02-12,76
2012-02-13,74
2012-02-14,71
2012-02-15,69
2012-02-16,73
2012-02-17,64
2012-02-18,62
2012-02-19,64
2012-02-20,67
2012-02-21,70
2012-02-22,76
2012-02-23,75
2012-02-24,80
2012-02-25,89
2012-02-26,80
2012-02-27,79
2012-02-28,80
2012-02-29,77
2012-03-01,76
2012-03-02,76
2012-03-03,75
2012-03-04,75
2012-03-05,75
2012-03-06,76
2012-03-07,83
2012-03-08,77
2012-03-09,77
2012-03-10,78
2012-03-11,77
2012-03-12,76
2012-03-13,81
2012-03-14,74
2012-03-15,73
2012-03-16,77
2012-03-17,78
2012-03-18,73
2012-03-19,74
2012-03-20,76
2012-03-21,79
2012-03-22,77
2012-03-23,80
2012-03-24,90
2012-03-25,79
2012-03-26,78
2012-03-27,78
2012-03-28,77
2012-03-29,77
2012-03-30,80
2012-03-31,85
2012-04-01,73
2012-04-02,71
2012-04-03,69
2012-04-04,68
2012-04-05,72
2012-04-06,63
2012-04-07,66
2012-04-08,62
2012-04-09,63
2012-04-10,64
2012-04-11,65
2012-04-12,67
2012-04-13,67
2012-04-14,69
2012-04-15,70
2012-04-16,72
2012-04-17,74
2012-04-18,76
2012-04-19,78
2012-04-20,80
2012-04-21,97
2012-04-22,85
2012-04-23,87
2012-04-24,91
2012-04-25,92
2012-04-26,96
2012-04-27,100
2012-04-28,106
2012-04-29,106
2012-04-30,96
2012-05-01,94
2012-05-02,93
2012-05-03,98
2012-05-04,89
2012-05-05,97
2012-05-06,87
2012-05-07,86
2012-05-08,86
2012-05-09,85
2012-05-10,87
2012-05-11,84
2012-05-12,88
2012-05-13,82
2012-05-14,80
2012-05-15,81
2012-05-16,77
2012-05-17,79
2012-05-18,74
2012-05-19,75
2012-05-20,73
2012-05-21,73
2012-05-22,74
2012-05-23,74
2012-05-24,75
2012-05-25,78
2012-05-26,83
2012-05-27,75
2012-05-28,73
2012-05-29,72
2012-05-30,70
2012-05-31,72
2012-06-01,68
2012-06-02,67
2012-06-03,68
2012-06-04,70
2012-06-05,72
2012-06-06,75
2012-06-07,76
2012-06-08,80
2012-06-09,88
2012-06-10,79
2012-06-11,79
2012-06-12,82
2012-06-13,78
2012-06-14,80
2012-06-15,77
2012-06-16,80
2012-06-17,78
2012-06-18,79
2012-06-19,81
2012-06-20,82
2012-06-21,91
2012-06-22,84
2012-06-23,98
2012-06-24,86
2012-06-25,87
2012-06-26,91
2012-06-27,88
2012-06-28,90
2012-06-29,89
2012-06-30,103
2012-07-01,90
2012-07-02,90
2012-07-03,91
2012-07-04,94
2012-07-05,92
2012-07-06,102
2012-07-07,105
2012-07-08,94
2012-07-09,90
2012-07-10,89
2012-07-11,91
2012-07-12,89
2012-07-13,88
2012-07-14,94
2012-07-15,83
2012-07-16,82
2012-07-17,84
2012-07-18,79
2012-07-19,77
2012-07-20,78
2012-07-21,86
2012-07-22,75
2012-07-23,75
2012-07-24,76
2012-07-25,80
2012-07-26,77
2012-07-27,76
2012-07-28,87
2012-07-29,77
2012-07-30,77
2012-07-31,78
