Date,SeaWorld Entertainment
2013-09-10,19
2013-09-11,18
2013-09-12,18
2013-09-13,18
2013-09-14,18
2013-09-15,17
2013-09-16,16
2013-09-17,15
2013-09-18,14
2013-09-19,13
2013-09-20,12
2013-09-21,12
2013-09-22,12
2013-09-23,13
2013-09-24,13
2013-09-25,14
2013-09-26,14
2013-09-27,15
2013-09-28,16
2013-09-29,15
2013-09-30,14
2013-10-01,14
2013-10-02,13
2013-10-03,13
2013-10-04,12
2013-10-05,12
2013-10-06,12
2013-10-07,13
2013-10-08,13
2013-10-09,14
2013-10-10,14
2013-10-11,15
2013-10-12,16
2013-10-13,16
2013-10-14,16
2013-10-15,17
2013-10-16,17
2013-10-17,18
2013-10-18,18
2013-10-19,19
2013-10-20,19
2013-10-21,19
2013-10-22,19
2013-10-23,19
2013-10-24,19
2013-10-25,19
2013-10-26,20
2013-10-27,20
2013-10-28,21
2013-10-29,22
2013-10-30,23
2013-10-31,24
2013-11-01,25
2013-11-02,26
2013-11-03,25
2013-11-04,24
2013-11-05,23
2013-11-06,23
2013-11-07,22
2013-11-08,21
2013-11-09,21
2013-11-10,20
2013-11-11,20
2013-11-12,20
2013-11-13,19
2013-11-14,19
2013-11-15,19
2013-11-16,19
2013-11-17,19
2013-11-18,19
2013-11-19,19
2013-11-20,19
2013-11-21,19
2013-11-22,20
2013-11-23,20
2013-11-24,19
2013-12-01,16
2013-12-02,17
2013-12-03,18
2013-12-04,19
2013-12-05,20
2013-12-06,21
2013-12-07,22
2013-12-08,21
2013-12-09,21
2013-12-10,21
2013-12-11,20
2013-12-12,20
2013-12-13,20
2013-12-14,20
2013-12-15,21
2013-12-16,22
2013-12-17,23
2013-12-18,25
2013-12-19,26
2013-12-20,27
2013-12-21,28
2013-12-22,26
2013-12-23,23
2013-12-24,21
2013-12-25,19
2013-12-26,17
2013-12-27,15
2013-12-28,13
2013-12-29,14
2013-12-30,15
2013-12-31,16
2014-01-01,18
2014-01-02,19
2014-01-03,20
2014-01-04,22
2014-01-05,21
2014-01-06,21
2014-01-07,21
2014-01-08,21
2014-01-09,21
2014-01-10,21
2014-01-11,21
2014-01-12,21
2014-01-13,21
2014-01-14,22
2014-01-15,22
2014-01-16,23
2014-01-17,23
2014-01-18,24
2014-01-19,23
2014-01-20,23
2014-01-21,23
2014-01-22,22
2014-01-23,22
2014-01-24,22
2014-01-25,22
2014-01-26,21
2014-01-27,21
2014-01-28,20
2014-01-29,20
2014-01-30,19
2014-01-31,19
2014-02-01,19
2014-02-02,19
2014-02-03,20
2014-02-04,21
2014-02-05,21
2014-02-06,22
2014-02-07,23
2014-02-08,24
2014-02-09,23
2014-02-10,23
2014-02-11,23
2014-02-12,23
2014-02-13,22
2014-02-14,22
2014-02-15,22
2014-02-16,21
2014-02-17,21
2014-02-18,20
2014-02-19,20
2014-02-20,19
2014-02-21,19
2014-02-22,19
2014-02-23,20
