Date,Acclarent
2009-04-24,36
2009-04-25,36
2009-04-26,36
2009-04-27,36
2009-04-28,37
2009-04-29,37
2009-04-30,37
2009-05-01,38
2009-05-02,38
2009-05-03,38
2009-05-04,38
2009-05-05,39
2009-05-06,39
2009-05-07,39
2009-05-08,40
2009-05-09,40
2009-05-10,40
2009-05-11,41
2009-05-12,41
2009-05-13,41
2009-05-14,42
2009-05-15,42
2009-05-16,42
2009-05-17,43
2009-05-18,43
2009-05-19,43
2009-05-20,44
2009-05-21,44
2009-05-22,44
2009-05-23,45
2009-05-24,45
2009-05-25,45
2009-05-26,46
2009-05-27,46
2009-05-28,46
2009-05-29,47
2009-05-30,47
2009-05-31,47
2009-06-01,48
2009-06-02,47
2009-06-03,47
2009-06-04,47
2009-06-05,47
2009-06-06,47
2009-06-07,47
2009-06-08,47
2009-06-09,47
2009-06-10,47
2009-06-11,47
2009-06-12,47
2009-06-13,47
2009-06-14,47
2009-06-15,47
2009-06-16,47
2009-06-17,46
2009-06-18,46
2009-06-19,46
2009-06-20,46
2009-06-21,46
2009-06-22,46
2009-06-23,46
2009-06-24,46
2009-06-25,46
2009-06-26,46
2009-06-27,46
2009-06-28,46
2009-06-29,46
2009-06-30,46
2009-07-01,46
2009-07-02,45
2009-07-03,45
2009-07-04,45
2009-07-05,44
2009-07-06,44
2009-07-07,44
2009-07-08,43
2009-07-09,43
2009-07-10,43
2009-07-11,43
2009-07-12,42
2009-07-13,42
2009-07-14,42
2009-07-15,41
2009-07-16,41
2009-07-17,41
2009-07-18,41
2009-07-19,40
2009-07-20,40
2009-07-21,40
2009-07-22,39
2009-07-23,39
2009-07-24,39
2009-07-25,39
2009-07-26,38
2009-07-27,38
2009-07-28,38
2009-07-29,37
2009-07-30,37
2009-07-31,37
2009-08-01,37
2009-08-02,36
2009-08-03,36
2009-08-04,35
2009-08-05,35
2009-08-06,35
2009-08-07,34
2009-08-08,34
2009-08-09,33
2009-08-10,33
2009-08-11,33
2009-08-12,32
2009-08-13,32
2009-08-14,31
2009-08-15,31
2009-08-16,31
2009-08-17,30
2009-08-18,30
2009-08-19,30
2009-08-20,29
2009-08-21,29
2009-08-22,28
2009-08-23,28
2009-08-24,28
2009-08-25,27
2009-08-26,27
2009-08-27,26
2009-08-28,26
2009-08-29,26
2009-08-30,25
2009-08-31,25
2009-09-01,25
2009-09-02,25
2009-09-03,26
2009-09-04,26
2009-09-05,27
2009-09-06,28
2009-09-07,28
2009-09-08,29
2009-09-09,30
2009-09-10,30
2009-09-11,31
2009-09-12,31
2009-09-13,32
2009-09-14,33
2009-09-15,33
2009-09-16,34
2009-09-17,35
2009-09-18,35
2009-09-19,36
2009-09-20,37
2009-09-21,37
2009-09-22,38
2009-09-23,38
2009-09-24,39
2009-09-25,40
2009-09-26,40
2009-09-27,41
2009-09-28,42
2009-09-29,42
2009-09-30,43
2009-10-01,44
2009-10-02,43
2009-10-03,43
2009-10-04,43
2009-10-05,43
2009-10-06,43
2009-10-07,43
2009-10-08,43
2009-10-09,43
2009-10-10,43
2009-10-11,43
2009-10-12,42
2009-10-13,42
2009-10-14,42
2009-10-15,42
2009-10-16,42
2009-10-17,42
2009-10-18,42
2009-10-19,42
2009-10-20,42
2009-10-21,42
2009-10-22,41
2009-10-23,41
2009-10-24,41
2009-10-25,41
2009-10-26,41
2009-10-27,41
2009-10-28,41
2009-10-29,41
2009-10-30,41
2009-10-31,41
2009-11-01,41
2009-11-02,42
2009-11-03,44
2009-11-04,46
2009-11-05,48
2009-11-06,50
2009-11-07,52
2009-11-08,54
2009-11-09,56
2009-11-10,58
2009-11-11,60
2009-11-12,62
2009-11-13,64
2009-11-14,66
2009-11-15,68
2009-11-16,70
2009-11-17,72
2009-11-18,74
2009-11-19,76
2009-11-20,78
2009-11-21,80
2009-11-22,82
2009-11-23,84
2009-11-24,86
2009-11-25,88
2009-11-26,90
2009-11-27,92
2009-11-28,94
2009-11-29,96
2009-11-30,98
2009-12-06,94
2009-12-07,105
2009-12-08,92
2009-12-09,91
2009-12-10,90
2009-12-11,89
2009-12-12,88
2009-12-13,87
2009-12-14,88
2009-12-15,87
2009-12-16,86
2009-12-17,85
2009-12-18,85
2009-12-19,84
2009-12-20,84
2009-12-21,79
2009-12-22,78
2009-12-23,77
2009-12-24,76
2009-12-25,75
2009-12-26,74
2009-12-27,73
2009-12-28,72
2009-12-29,71
2009-12-30,70
2009-12-31,69
2010-01-01,68
2010-01-02,67
2010-01-03,67
2010-01-04,67
2010-01-05,66
2010-01-06,66
2010-01-07,66
2010-01-08,65
2010-01-09,65
2010-01-10,65
2010-01-11,64
2010-01-12,63
2010-01-13,63
2010-01-14,62
2010-01-15,62
2010-01-16,62
2010-01-17,61
2010-01-18,60
2010-01-19,60
2010-01-20,60
2010-01-21,59
2010-01-22,59
2010-01-23,58
2010-01-24,58
2010-01-25,58
2010-01-26,57
2010-01-27,57
2010-01-28,57
2010-01-29,56
2010-01-30,56
2010-01-31,55
2010-02-01,55
2010-02-02,54
2010-02-03,54
2010-02-04,54
2010-02-05,53
2010-02-06,53
2010-02-07,53
2010-02-08,52
2010-02-09,52
2010-02-10,52
2010-02-11,51
2010-02-12,51
2010-02-13,51
2010-02-14,50
2010-02-15,50
2010-02-16,50
2010-02-17,49
2010-02-18,49
2010-02-19,49
2010-02-20,48
2010-02-21,48
2010-02-22,48
2010-02-23,47
2010-02-24,47
2010-02-25,47
2010-02-26,46
2010-02-27,46
2010-02-28,46
2010-03-07,47
2010-03-08,47
2010-03-09,48
2010-03-10,48
2010-03-11,48
2010-03-12,48
2010-03-13,49
2010-03-14,49
2010-03-15,49
2010-03-16,49
2010-03-17,50
2010-03-18,50
2010-03-19,50
2010-03-20,50
2010-03-21,51
2010-03-22,51
2010-03-23,51
2010-03-24,51
2010-03-25,52
2010-03-26,52
2010-03-27,52
2010-03-28,52
2010-03-29,53
2010-03-30,53
2010-03-31,53
2010-04-01,54
2010-04-02,53
2010-04-03,53
2010-04-04,52
2010-04-05,52
2010-04-06,52
2010-04-07,52
2010-04-08,51
2010-04-09,51
2010-04-10,50
2010-04-11,50
2010-04-12,49
2010-04-13,49
2010-04-14,48
2010-04-15,48
2010-04-16,48
2010-04-17,47
2010-04-18,47
2010-04-19,46
2010-04-20,46
2010-04-21,46
2010-04-22,45
2010-04-23,45
2010-04-24,44
2010-04-25,44
2010-04-26,44
2010-04-27,43
2010-04-28,43
2010-04-29,42
2010-04-30,42
2010-05-01,42
