Date,AECOM Technology
2006-12-28,28
2006-12-29,27
2006-12-30,27
2006-12-31,27
2007-01-01,27
2007-01-02,27
2007-01-03,28
2007-01-04,28
2007-01-05,28
2007-01-06,29
2007-01-07,30
2007-01-08,31
2007-01-09,32
2007-01-10,33
2007-01-11,34
2007-01-12,35
2007-01-13,37
2007-01-14,38
2007-01-15,39
2007-01-16,40
2007-01-17,42
2007-01-18,43
2007-01-19,44
2007-01-20,46
2007-01-21,46
2007-01-22,46
2007-01-23,46
2007-01-24,46
2007-01-25,46
2007-01-26,46
2007-01-27,47
2007-01-28,46
2007-01-29,45
2007-01-30,45
2007-01-31,44
2007-02-01,44
2007-02-02,43
2007-02-03,43
2007-02-04,42
2007-02-05,42
2007-02-06,42
2007-02-07,42
2007-02-08,42
2007-02-09,42
2007-02-10,42
2007-02-11,40
2007-02-12,38
2007-02-13,36
2007-02-14,34
2007-02-15,32
2007-02-16,30
2007-02-17,28
2007-02-18,29
2007-02-19,30
2007-02-20,31
2007-02-21,33
2007-02-22,34
2007-02-23,35
2007-02-24,37
2007-02-25,36
2007-03-01,32
2007-03-02,31
2007-03-03,31
2007-03-04,32
2007-03-05,33
2007-03-06,34
2007-03-07,35
2007-03-08,36
2007-03-09,37
2007-03-10,38
2007-03-11,39
2007-03-12,41
2007-03-13,43
2007-03-14,43
2007-03-15,45
2007-03-16,46
2007-03-17,48
2007-03-18,47
2007-03-19,46
2007-03-20,45
2007-03-21,44
2007-03-22,43
2007-03-23,42
2007-03-24,42
2007-03-25,41
2007-03-26,40
2007-03-27,39
2007-03-28,39
2007-03-29,38
2007-03-30,37
2007-03-31,37
2007-04-01,36
2007-04-02,36
2007-04-03,37
2007-04-04,35
2007-04-05,34
2007-04-06,34
2007-04-07,34
2007-04-08,34
2007-04-09,34
2007-04-10,34
2007-04-11,34
2007-04-12,34
2007-04-13,34
2007-04-14,35
2007-04-15,36
2007-04-16,38
2007-04-17,40
2007-04-18,42
2007-04-19,44
2007-04-20,46
2007-04-21,48
2007-04-22,45
2007-04-23,43
2007-04-24,40
2007-04-25,38
2007-04-26,35
2007-04-27,35
2007-04-28,31
2007-04-29,33
2007-04-30,35
2007-05-01,37
2007-05-02,39
2007-05-03,41
2007-05-04,43
2007-05-05,46
2007-05-06,51
2007-05-07,57
2007-05-08,63
2007-05-09,70
2007-05-10,74
2007-05-11,82
2007-05-12,93
2007-05-13,82
2007-05-14,78
2007-05-15,75
2007-05-16,71
2007-05-17,72
2007-05-18,64
2007-05-19,61
2007-05-20,58
2007-05-21,56
2007-05-22,57
2007-05-23,52
2007-05-24,49
2007-05-25,47
2007-05-26,45
2007-05-27,44
2007-05-28,44
2007-05-29,44
2007-05-30,44
2007-05-31,44
2007-06-01,44
2007-06-02,44
2007-06-03,45
2007-06-04,46
2007-06-05,47
2007-06-06,49
2007-06-07,50
2007-06-08,51
2007-06-09,57
2007-06-10,52
2007-06-11,51
2007-06-12,50
2007-06-13,49
2007-06-14,48
2007-06-15,48
2007-06-16,47
2007-06-17,46
2007-06-18,47
2007-06-19,48
2007-06-20,49
2007-06-21,51
2007-06-22,51
2007-06-23,52
2007-06-24,50
2007-06-25,48
2007-06-26,46
2007-06-27,44
2007-06-28,42
2007-06-29,40
2007-06-30,38
2007-07-01,36
2007-07-02,35
2007-07-03,34
2007-07-04,33
2007-07-05,32
2007-07-06,31
2007-07-07,30
2007-07-08,31
2007-07-09,33
2007-07-10,35
2007-07-11,37
2007-07-12,39
2007-07-13,41
2007-07-14,43
2007-07-15,43
2007-07-16,43
2007-07-17,44
2007-07-18,44
2007-07-19,45
2007-07-20,45
2007-07-21,46
2007-07-22,45
2007-07-23,44
2007-07-24,44
2007-07-25,43
2007-07-26,43
2007-07-27,42
2007-07-28,42
2007-07-29,42
2007-07-30,42
2007-07-31,42
2007-08-01,46
2007-08-02,43
2007-08-03,43
2007-08-04,44
2007-08-05,44
2007-08-06,44
2007-08-07,45
2007-08-08,49
2007-08-09,46
2007-08-10,46
2007-08-11,51
2007-08-12,44
2007-08-13,42
2007-08-14,40
2007-08-15,38
2007-08-16,36
2007-08-17,34
2007-08-18,32
2007-08-19,33
2007-08-20,34
2007-08-21,36
2007-08-22,37
2007-08-23,41
2007-08-24,40
2007-08-25,42
2007-08-26,41
2007-08-27,41
2007-08-28,40
2007-08-29,40
2007-08-30,39
2007-08-31,39
2007-09-01,39
2007-09-02,38
2007-09-03,37
2007-09-04,37
2007-09-05,36
2007-09-06,36
2007-09-07,35
2007-09-08,35
2007-09-09,35
2007-09-10,35
2007-09-11,36
2007-09-12,38
2007-09-13,37
2007-09-14,37
2007-09-15,38
2007-09-16,38
2007-09-17,39
2007-09-18,40
2007-09-19,40
2007-09-20,42
2007-09-21,42
2007-09-22,43
2007-09-23,42
2007-09-24,42
2007-09-25,41
2007-09-26,41
2007-09-27,42
2007-09-28,40
2007-09-29,40
2007-09-30,41
2007-10-01,42
2007-10-02,43
2007-10-03,48
2007-10-04,45
2007-10-05,46
2007-10-06,48
2007-10-07,48
2007-10-08,48
2007-10-09,51
2007-10-10,48
2007-10-11,48
2007-10-12,48
2007-10-13,50
2007-10-14,46
2007-10-15,44
2007-10-16,42
2007-10-17,39
2007-10-18,37
2007-10-19,35
2007-10-20,33
2007-10-21,34
2007-10-22,38
2007-10-23,37
2007-10-24,40
2007-10-25,40
2007-10-26,41
2007-10-27,43
2007-10-28,42
2007-10-29,41
2007-10-30,41
2007-10-31,40
2007-11-01,40
2007-11-02,39
2007-11-03,39
2007-11-04,39
2007-11-05,40
2007-11-06,41
2007-11-07,46
2007-11-08,43
2007-11-09,47
2007-11-10,45
2007-11-11,45
2007-11-12,45
2007-11-13,45
2007-11-14,46
2007-11-15,46
2007-11-16,45
2007-11-17,46
2007-11-18,44
2007-11-19,42
2007-11-20,40
2007-11-21,38
2007-11-22,36
2007-11-23,34
2007-11-24,32
2007-11-25,35
2007-11-26,39
2007-11-27,43
2007-11-28,46
2007-11-29,49
2007-11-30,56
2007-12-01,57
2007-12-02,54
2007-12-03,52
2007-12-04,50
2007-12-05,48
2007-12-06,47
2007-12-07,44
2007-12-08,42
2007-12-09,41
2007-12-10,40
2007-12-11,43
2007-12-12,39
2007-12-13,39
2007-12-14,39
2007-12-15,38
2007-12-16,38
2007-12-17,38
2007-12-18,39
2007-12-19,39
2007-12-20,40
2007-12-21,40
2007-12-22,41
2007-12-23,39
2007-12-24,37
2007-12-25,35
2007-12-26,33
2007-12-27,31
2007-12-28,29
2007-12-29,28
2007-12-30,27
2007-12-31,27
2008-01-01,27
2008-01-02,27
2008-01-03,30
2008-01-04,27
2008-01-05,27
2008-01-06,30
2008-01-07,34
2008-01-08,38
2008-01-09,44
2008-01-10,45
2008-01-11,49
2008-01-12,58
2008-01-13,51
2008-01-14,49
2008-01-15,47
2008-01-16,46
2008-01-17,43
2008-01-18,41
2008-01-19,39
2008-01-20,39
2008-01-21,39
2008-01-22,42
2008-01-23,40
2008-01-24,41
2008-01-25,41
2008-01-26,42
2008-01-27,42
2008-01-28,42
2008-01-29,43
2008-01-30,43
2008-01-31,46
2008-02-01,44
2008-02-02,45
2008-02-03,45
2008-02-04,45
2008-02-05,45
2008-02-06,45
2008-02-07,47
2008-02-08,45
2008-02-09,45
2008-02-10,52
2008-02-11,60
2008-02-12,68
2008-02-13,83
2008-02-14,93
2008-02-15,93
2008-02-16,100
2008-02-17,92
2008-02-18,85
2008-02-19,78
2008-02-20,76
2008-02-21,64
2008-02-22,58
2008-02-23,50
2008-02-24,50
2008-02-25,50
2008-02-26,50
2008-02-27,53
2008-02-28,51
2008-02-29,51
2008-03-01,52
2008-03-02,51
2008-03-03,53
2008-03-04,51
2008-03-05,50
2008-03-06,50
2008-03-07,50
2008-03-08,51
2008-03-09,48
2008-03-10,47
2008-03-11,46
2008-03-12,48
2008-03-13,43
2008-03-14,43
2008-03-15,41
2008-03-16,41
2008-03-17,42
2008-03-18,43
2008-03-19,46
2008-03-20,44
2008-03-21,45
2008-03-22,46
2008-03-23,46
2008-03-24,47
2008-03-25,51
2008-03-26,48
2008-03-27,48
2008-03-28,49
2008-03-29,50
2008-03-30,49
2008-03-31,48
2008-04-01,49
2008-04-02,46
2008-04-03,49
2008-04-04,44
2008-04-05,43
2008-04-06,43
2008-04-07,43
2008-04-08,44
2008-04-09,45
2008-04-10,45
2008-04-11,48
2008-04-12,46
2008-04-13,46
2008-04-14,46
2008-04-15,47
2008-04-16,47
2008-04-17,50
2008-04-18,48
2008-04-19,48
2008-04-20,49
2008-04-21,48
2008-04-22,49
2008-04-23,49
2008-04-24,55
2008-04-25,50
2008-04-26,51
2008-04-27,49
2008-04-28,48
2008-04-29,46
2008-04-30,45
2008-05-01,43
2008-05-02,43
2008-05-03,42
2008-05-04,41
2008-05-05,42
2008-05-06,43
2008-05-07,44
2008-05-08,45
2008-05-09,45
2008-05-10,46
2008-05-11,45
2008-05-12,44
2008-05-13,45
2008-05-14,42
2008-05-15,41
2008-05-16,42
2008-05-17,39
2008-05-18,39
2008-05-19,39
2008-05-20,39
2008-05-21,39
2008-05-22,39
2008-05-23,40
2008-05-24,43
2008-05-25,40
2008-05-26,40
2008-05-27,40
2008-05-28,40
2008-05-29,40
2008-05-30,41
2008-05-31,41
2008-06-01,42
2008-06-02,44
2008-06-03,49
2008-06-04,49
2008-06-05,48
2008-06-06,50
2008-06-07,54
2008-06-08,50
2008-06-09,48
2008-06-10,47
2008-06-11,46
2008-06-12,44
2008-06-13,45
2008-06-14,41
2008-06-15,42
2008-06-16,43
2008-06-17,45
2008-06-18,46
2008-06-19,48
2008-06-20,51
2008-06-21,51
2008-06-22,51
2008-06-23,51
2008-06-24,51
2008-06-25,54
2008-06-26,51
2008-06-27,51
2008-06-28,53
2008-06-29,50
2008-06-30,49
2008-07-01,48
2008-07-02,48
2008-07-03,49
2008-07-04,46
2008-07-05,46
2008-07-06,47
2008-07-07,48
2008-07-08,49
2008-07-09,50
2008-07-10,54
2008-07-11,54
2008-07-12,54
2008-07-13,53
2008-07-14,52
2008-07-15,52
2008-07-16,51
2008-07-17,55
2008-07-18,50
2008-07-19,50
2008-07-20,50
2008-07-21,51
2008-07-22,54
2008-07-23,56
2008-07-24,54
2008-07-25,54
2008-07-26,55
2008-07-27,55
2008-07-28,55
2008-07-29,58
2008-07-30,55
2008-07-31,55
2008-08-01,59
2008-08-02,55
2008-08-03,56
2008-08-04,58
2008-08-05,59
2008-08-06,67
2008-08-07,62
2008-08-08,67
2008-08-09,67
2008-08-10,64
2008-08-11,62
2008-08-12,61
2008-08-13,61
2008-08-14,58
2008-08-15,56
2008-08-16,58
2008-08-17,54
2008-08-18,53
2008-08-19,56
2008-08-20,52
2008-08-21,51
2008-08-22,53
2008-08-23,50
2008-08-24,49
2008-08-25,48
2008-08-26,49
2008-08-27,48
2008-08-28,47
2008-08-29,47
2008-08-30,46
2008-08-31,47
