Date,Gigamon
2012-10-13,10
2012-10-14,9
2012-10-15,9
2012-10-16,9
2012-10-17,9
2012-10-18,9
2012-10-19,9
2012-10-20,9
2012-10-21,8
2012-10-22,8
2012-10-23,8
2012-10-24,8
2012-10-25,8
2012-10-26,8
2012-10-27,8
2012-10-28,8
2012-10-29,8
2012-10-30,8
2012-10-31,8
2012-11-01,8
2012-11-02,8
2012-11-03,9
2012-11-04,9
2012-11-05,9
2012-11-06,9
2012-11-07,10
2012-11-08,10
2012-11-09,10
2012-11-10,11
2012-11-11,10
2012-11-12,10
2012-11-13,9
2012-11-14,9
2012-11-15,8
2012-11-16,8
2012-11-17,8
2012-11-18,8
2012-11-19,8
2012-11-20,8
2012-11-21,8
2012-11-22,8
2012-11-23,8
2012-11-24,8
2012-11-25,8
2012-11-26,9
2012-11-27,9
2012-11-28,10
2012-11-29,10
2012-11-30,11
2012-12-01,12
2012-12-02,11
2012-12-03,11
2012-12-04,11
2012-12-05,11
2012-12-06,11
2012-12-07,11
2012-12-08,11
2012-12-09,11
2012-12-10,11
2012-12-11,11
2012-12-12,11
2012-12-13,11
2012-12-14,11
2012-12-15,11
2012-12-16,10
2012-12-17,10
2012-12-18,9
2012-12-19,9
2012-12-20,8
2012-12-21,8
2012-12-22,8
2012-12-23,8
2012-12-24,8
2012-12-25,8
2012-12-26,8
2012-12-27,8
2012-12-28,8
2012-12-29,8
2012-12-30,8
2013-01-06,7
2013-01-07,7
2013-01-08,6
2013-01-09,6
2013-01-10,5
2013-01-11,5
2013-01-12,5
2013-01-13,5
2013-01-14,5
2013-01-15,5
2013-01-16,6
2013-01-17,6
2013-01-18,6
2013-01-19,7
2013-01-20,7
2013-01-21,7
2013-01-22,8
2013-01-23,8
2013-01-24,9
2013-01-25,9
2013-01-26,10
2013-01-27,10
2013-01-28,10
2013-01-29,10
2013-01-30,11
2013-01-31,11
2013-02-01,11
2013-02-02,12
2013-02-03,12
2013-02-04,12
2013-02-05,12
2013-02-06,12
2013-02-07,12
2013-02-08,12
2013-02-09,13
2013-02-10,12
2013-02-11,11
2013-02-12,10
2013-02-13,10
2013-02-14,9
2013-02-15,8
2013-02-16,8
2013-02-17,8
2013-02-18,8
2013-02-19,9
2013-02-20,9
2013-02-21,10
2013-02-22,10
2013-02-23,11
2013-02-24,11
2013-02-25,11
2013-02-26,11
2013-02-27,11
2013-02-28,11
2013-03-01,11
2013-03-02,12
2013-03-03,11
2013-03-04,11
2013-03-05,10
2013-03-06,10
2013-03-07,9
2013-03-08,9
2013-03-09,9
2013-03-10,9
2013-03-11,9
2013-03-12,9
2013-03-13,9
2013-03-14,9
2013-03-15,9
2013-03-16,10
2013-03-17,9
2013-03-18,9
2013-03-19,9
2013-03-20,9
2013-03-21,9
2013-03-22,9
2013-03-23,9
2013-03-24,9
2013-03-25,10
2013-03-26,10
2013-03-27,11
2013-03-28,11
2013-03-29,12
2013-03-30,13
2013-03-31,12
2013-04-07,10
2013-04-08,10
2013-04-09,9
2013-04-10,9
2013-04-11,8
2013-04-12,8
2013-04-13,8
2013-04-14,8
2013-04-15,8
2013-04-16,8
2013-04-17,8
2013-04-18,8
2013-04-19,8
2013-04-20,8
2013-04-21,8
2013-04-22,8
2013-04-23,9
2013-04-24,9
2013-04-25,10
2013-04-26,10
2013-04-27,11
2013-04-28,11
2013-04-29,11
2013-04-30,11
2013-05-01,11
2013-05-02,11
2013-05-03,11
2013-05-04,11
2013-05-05,11
2013-05-06,11
2013-05-07,11
2013-05-08,11
2013-05-09,11
2013-05-10,11
2013-05-11,11
2013-05-12,11
2013-05-13,11
2013-05-14,11
2013-05-15,11
2013-05-16,11
2013-05-17,11
2013-05-18,11
2013-05-19,11
2013-05-20,11
2013-05-21,11
2013-05-22,11
2013-05-23,11
2013-05-24,11
2013-05-25,11
2013-05-26,10
2013-05-27,10
2013-05-28,10
2013-05-29,10
2013-05-30,10
2013-05-31,10
2013-06-01,10
2013-06-02,10
2013-06-03,11
2013-06-04,12
2013-06-05,13
2013-06-06,14
2013-06-07,15
2013-06-08,16
2013-06-09,28
2013-06-10,40
2013-06-11,53
2013-06-12,65
2013-06-13,78
2013-06-14,91
2013-06-15,105
2013-06-16,94
2013-06-17,76
2013-06-18,64
2013-06-19,51
2013-06-20,39
2013-06-21,27
2013-06-22,15
2013-06-23,14
2013-06-24,14
2013-06-25,14
2013-06-26,13
2013-06-27,13
2013-06-28,13
2013-06-29,13
2013-06-30,12
2013-07-01,12
2013-07-02,12
2013-07-03,12
2013-07-04,12
2013-07-05,12
2013-07-06,12
2013-07-07,12
2013-07-08,13
2013-07-09,14
2013-07-10,15
2013-07-11,17
2013-07-12,17
2013-07-13,18
2013-07-14,18
2013-07-15,18
2013-07-16,18
2013-07-17,19
2013-07-18,19
2013-07-19,19
2013-07-20,20
2013-07-21,19
2013-07-22,18
2013-07-23,18
2013-07-24,17
2013-07-25,17
2013-07-26,16
2013-07-27,16
2013-07-28,16
2013-07-29,17
2013-07-30,17
2013-07-31,18
2013-08-01,18
2013-08-02,19
2013-08-03,20
2013-08-04,19
2013-08-05,19
2013-08-06,19
2013-08-07,18
2013-08-08,18
2013-08-09,18
2013-08-10,18
2013-08-11,17
2013-08-12,16
2013-08-13,16
2013-08-14,15
2013-08-15,15
2013-08-16,14
2013-08-17,14
2013-08-18,14
2013-08-19,14
2013-08-20,14
2013-08-21,14
2013-08-22,14
2013-08-23,14
2013-08-24,14
2013-08-25,13
2013-08-26,13
2013-08-27,13
2013-08-28,12
2013-08-29,12
2013-08-30,12
2013-08-31,12
2013-09-01,11
2013-09-02,11
2013-09-03,10
2013-09-04,10
2013-09-05,10
2013-09-06,9
2013-09-07,9
2013-09-08,10
2013-09-09,11
2013-09-10,12
2013-09-11,13
2013-09-12,14
2013-09-13,15
2013-09-14,17
2013-09-15,17
2013-09-16,17
2013-09-17,17
2013-09-18,17
2013-09-19,18
2013-09-20,17
2013-09-21,17
2013-09-22,16
2013-09-23,15
2013-09-24,14
2013-09-25,14
2013-09-26,13
2013-09-27,12
2013-09-28,12
2013-09-29,12
2013-09-30,12
2013-10-06,14
2013-10-07,14
2013-10-08,14
2013-10-09,13
2013-10-10,13
2013-10-11,13
2013-10-12,13
2013-10-13,12
2013-10-14,11
2013-10-15,11
2013-10-16,10
2013-10-17,10
2013-10-18,9
2013-10-19,9
2013-10-20,9
2013-10-21,10
2013-10-22,11
2013-10-23,11
2013-10-24,12
2013-10-25,13
2013-10-26,14
2013-10-27,13
2013-10-28,13
2013-10-29,13
2013-10-30,12
2013-10-31,12
2013-11-01,12
2013-11-02,12
2013-11-03,12
2013-11-04,12
2013-11-05,12
2013-11-06,12
2013-11-07,12
2013-11-08,12
2013-11-09,12
2013-11-10,11
2013-11-11,10
2013-11-12,10
2013-11-13,9
2013-11-14,9
2013-11-15,8
2013-11-16,8
2013-11-17,8
2013-11-18,8
2013-11-19,9
2013-11-20,9
2013-11-21,10
2013-11-22,10
2013-11-23,11
2013-11-24,10
2013-11-25,10
2013-11-26,10
2013-11-27,10
2013-11-28,10
2013-11-29,10
2013-11-30,10
2013-12-01,10
2013-12-02,10
2013-12-03,10
2013-12-04,10
2013-12-05,10
2013-12-06,10
2013-12-07,10
2013-12-08,10
2013-12-09,10
2013-12-10,10
2013-12-11,10
2013-12-12,10
2013-12-13,10
2013-12-14,10
2013-12-15,10
2013-12-16,10
2013-12-17,10
2013-12-18,11
2013-12-19,11
2013-12-20,11
2013-12-21,12
2013-12-22,11
2013-12-23,10
2013-12-24,9
2013-12-25,8
2013-12-26,7
2013-12-27,6
2013-12-28,5
2013-12-29,5
