Date,Heartland Payment Systems
2004-05-23,0
2004-05-24,0
2004-05-25,0
2004-05-26,0
2004-05-27,0
2004-05-28,0
2004-05-29,0
2004-05-30,0
2004-05-31,0
2004-06-01,0
2004-06-02,0
2004-06-03,0
2004-06-04,0
2004-06-05,0
2004-06-06,0
2004-06-07,0
2004-06-08,0
2004-06-09,0
2004-06-10,0
2004-06-11,0
2004-06-12,0
2004-06-13,0
2004-06-14,0
2004-06-15,0
2004-06-16,0
2004-06-17,0
2004-06-18,0
2004-06-19,0
2004-06-20,0
2004-06-21,0
2004-06-22,0
2004-06-23,0
2004-06-24,0
2004-06-25,0
2004-06-26,0
2004-06-27,0
2004-06-28,0
2004-06-29,0
2004-06-30,0
2004-07-01,0
2004-07-02,0
2004-07-03,0
2004-07-04,0
2004-07-05,0
2004-07-06,0
2004-07-07,0
2004-07-08,0
2004-07-09,0
2004-07-10,0
2004-07-11,0
2004-07-12,0
2004-07-13,0
2004-07-14,0
2004-07-15,0
2004-07-16,0
2004-07-17,0
2004-07-18,0
2004-07-19,0
2004-07-20,0
2004-07-21,0
2004-07-22,0
2004-07-23,0
2004-07-24,0
2004-07-25,0
2004-07-26,0
2004-07-27,0
2004-07-28,0
2004-07-29,0
2004-07-30,0
2004-07-31,0
2004-08-01,0
2004-08-02,0
2004-08-03,0
2004-08-04,0
2004-08-05,0
2004-08-06,0
2004-08-07,0
2004-08-08,0
2004-08-09,0
2004-08-10,0
2004-08-11,0
2004-08-12,0
2004-08-13,0
2004-08-14,0
2004-08-15,0
2004-08-16,0
2004-08-17,0
2004-08-18,0
2004-08-19,0
2004-08-20,0
2004-08-21,0
2004-08-22,0
2004-08-23,0
2004-08-24,0
2004-08-25,0
2004-08-26,0
2004-08-27,0
2004-08-28,0
2004-08-29,0
2004-08-30,0
2004-08-31,0
2004-09-01,0
2004-09-02,0
2004-09-03,0
2004-09-04,0
2004-09-05,0
2004-09-06,0
2004-09-07,0
2004-09-08,0
2004-09-09,0
2004-09-10,0
2004-09-11,0
2004-09-12,0
2004-09-13,0
2004-09-14,0
2004-09-15,0
2004-09-16,0
2004-09-17,0
2004-09-18,0
2004-09-19,0
2004-09-20,0
2004-09-21,0
2004-09-22,0
2004-09-23,0
2004-09-24,0
2004-09-25,0
2004-09-26,0
2004-09-27,0
2004-09-28,0
2004-09-29,0
2004-09-30,0
2004-10-01,0
2004-10-02,0
2004-10-03,0
2004-10-04,0
2004-10-05,0
2004-10-06,0
2004-10-07,0
2004-10-08,0
2004-10-09,0
2004-10-10,0
2004-10-11,0
2004-10-12,0
2004-10-13,0
2004-10-14,0
2004-10-15,0
2004-10-16,0
2004-10-17,0
2004-10-18,0
2004-10-19,0
2004-10-20,0
2004-10-21,0
2004-10-22,0
2004-10-23,0
2004-10-24,0
2004-10-25,0
2004-10-26,0
2004-10-27,0
2004-10-28,0
2004-10-29,0
2004-10-30,0
2004-10-31,0
2004-11-01,0
2004-11-02,0
2004-11-03,0
2004-11-04,0
2004-11-05,0
2004-11-06,0
2004-11-07,0
2004-11-08,0
2004-11-09,0
2004-11-10,0
2004-11-11,0
2004-11-12,0
2004-11-13,0
2004-11-14,0
2004-11-15,0
2004-11-16,0
2004-11-17,0
2004-11-18,0
2004-11-19,0
2004-11-20,0
2004-11-21,0
2004-11-22,0
2004-11-23,0
2004-11-24,0
2004-11-25,0
2004-11-26,0
2004-11-27,0
2004-11-28,0
2004-11-29,0
2004-11-30,0
2004-12-01,0
2004-12-02,0
2004-12-03,0
2004-12-04,0
2004-12-05,0
2004-12-06,0
2004-12-07,0
2004-12-08,0
2004-12-09,0
2004-12-10,0
2004-12-11,0
2004-12-12,0
2004-12-13,0
2004-12-14,0
2004-12-15,0
2004-12-16,0
2004-12-17,0
2004-12-18,0
2004-12-19,0
2004-12-20,0
2004-12-21,0
2004-12-22,0
2004-12-23,0
2004-12-24,0
2004-12-25,0
2004-12-26,0
2004-12-27,0
2004-12-28,0
2004-12-29,0
2004-12-30,0
2004-12-31,0
2005-01-01,0
2005-01-02,0
2005-01-03,0
2005-01-04,0
2005-01-05,0
2005-01-06,0
2005-01-07,0
2005-01-08,0
2005-01-09,0
2005-01-10,0
2005-01-11,0
2005-01-12,0
2005-01-13,0
2005-01-14,0
2005-01-15,0
2005-01-16,0
2005-01-17,0
2005-01-18,0
2005-01-19,0
2005-01-20,0
2005-01-21,0
2005-01-22,0
2005-01-23,0
2005-01-24,0
2005-01-25,0
2005-01-26,0
2005-01-27,0
2005-01-28,0
2005-01-29,0
2005-01-30,0
2005-01-31,0
2005-02-01,0
2005-02-02,0
2005-02-03,0
2005-02-04,0
2005-02-05,0
2005-02-06,0
2005-02-07,0
2005-02-08,0
2005-02-09,0
2005-02-10,0
2005-02-11,0
2005-02-12,0
2005-02-13,0
2005-02-14,0
2005-02-15,0
2005-02-16,0
2005-02-17,0
2005-02-18,0
2005-02-19,0
2005-02-20,0
2005-02-21,0
2005-02-22,0
2005-02-23,0
2005-02-24,0
2005-02-25,0
2005-02-26,0
2005-02-27,0
2005-02-28,0
2005-03-01,0
2005-03-02,0
2005-03-03,0
2005-03-04,0
2005-03-05,0
2005-03-06,0
2005-03-07,0
2005-03-08,0
2005-03-09,0
2005-03-10,0
2005-03-11,0
2005-03-12,0
2005-03-13,0
2005-03-14,0
2005-03-15,0
2005-03-16,0
2005-03-17,0
2005-03-18,0
2005-03-19,0
2005-03-20,0
2005-03-21,0
2005-03-22,0
2005-03-23,0
2005-03-24,0
2005-03-25,0
2005-03-26,0
2005-03-27,0
2005-03-28,0
2005-03-29,0
2005-03-30,0
2005-03-31,0
2005-04-01,0
2005-04-02,0
2005-04-03,0
2005-04-04,0
2005-04-05,0
2005-04-06,0
2005-04-07,0
2005-04-08,0
2005-04-09,0
2005-04-10,0
2005-04-11,0
2005-04-12,0
2005-04-13,0
2005-04-14,0
2005-04-15,0
2005-04-16,0
2005-04-17,0
2005-04-18,0
2005-04-19,0
2005-04-20,0
2005-04-21,0
2005-04-22,0
2005-04-23,0
2005-04-24,0
2005-04-25,0
2005-04-26,0
2005-04-27,0
2005-04-28,0
2005-04-29,0
2005-04-30,0
2005-05-01,0
2005-05-02,0
2005-05-03,0
2005-05-04,0
2005-05-05,0
2005-05-06,0
2005-05-07,0
2005-05-08,0
2005-05-09,0
2005-05-10,0
2005-05-11,0
2005-05-12,0
2005-05-13,0
2005-05-14,0
2005-05-15,0
2005-05-16,0
2005-05-17,0
2005-05-18,0
2005-05-19,0
2005-05-20,0
2005-05-21,0
2005-05-22,0
2005-05-23,0
2005-05-24,0
2005-05-25,0
2005-05-26,0
2005-05-27,0
2005-05-28,0
2005-05-29,0
2005-05-30,0
2005-05-31,0
2005-06-01,0
2005-06-02,0
2005-06-03,0
2005-06-04,0
2005-06-05,0
2005-06-06,0
2005-06-07,0
2005-06-08,0
2005-06-09,0
2005-06-10,0
2005-06-11,0
2005-06-12,0
2005-06-13,0
2005-06-14,0
2005-06-15,0
2005-06-16,0
2005-06-17,0
2005-06-18,0
2005-06-19,0
2005-06-20,0
2005-06-21,0
2005-06-22,0
2005-06-23,0
2005-06-24,0
2005-06-25,0
2005-06-26,0
2005-06-27,0
2005-06-28,0
2005-06-29,0
2005-06-30,0
2005-07-01,0
2005-07-02,3
2005-07-03,6
2005-07-04,9
2005-07-05,12
2005-07-06,16
2005-07-07,19
2005-07-08,22
2005-07-09,25
2005-07-10,29
2005-07-11,32
2005-07-12,35
2005-07-13,38
2005-07-14,41
2005-07-15,45
2005-07-16,48
2005-07-17,51
2005-07-18,54
2005-07-19,58
2005-07-20,61
2005-07-21,64
2005-07-22,67
2005-07-23,70
2005-07-24,74
2005-07-25,77
2005-07-26,80
2005-07-27,83
2005-07-28,87
2005-07-29,90
2005-07-30,93
2005-07-31,96
2005-08-01,100
2005-08-02,99
2005-08-03,98
2005-08-04,97
2005-08-05,96
2005-08-06,95
2005-08-07,94
2005-08-08,93
2005-08-09,92
2005-08-10,91
2005-08-11,90
2005-08-12,89
2005-08-13,88
2005-08-14,87
2005-08-15,86
2005-08-16,85
2005-08-17,85
2005-08-18,84
2005-08-19,83
2005-08-20,82
2005-08-21,81
2005-08-22,80
2005-08-23,79
2005-08-24,78
2005-08-25,77
2005-08-26,76
2005-08-27,75
2005-08-28,74
2005-08-29,73
2005-08-30,72
2005-08-31,71
2005-09-01,71
2005-09-02,71
2005-09-03,71
2005-09-04,71
2005-09-05,71
2005-09-06,71
2005-09-07,71
2005-09-08,71
2005-09-09,71
2005-09-10,71
2005-09-11,71
2005-09-12,71
2005-09-13,71
2005-09-14,71
2005-09-15,71
2005-09-16,71
2005-09-17,71
2005-09-18,71
2005-09-19,71
2005-09-20,71
2005-09-21,71
2005-09-22,71
2005-09-23,71
2005-09-24,71
2005-09-25,71
2005-09-26,71
2005-09-27,71
2005-09-28,71
2005-09-29,71
2005-09-30,71
2005-10-01,71
2005-10-02,70
2005-10-03,70
2005-10-04,70
2005-10-05,70
2005-10-06,70
2005-10-07,70
2005-10-08,70
2005-10-09,70
2005-10-10,70
2005-10-11,70
2005-10-12,70
2005-10-13,70
2005-10-14,70
2005-10-15,70
2005-10-16,70
2005-10-17,69
2005-10-18,69
2005-10-19,69
2005-10-20,69
2005-10-21,69
2005-10-22,69
2005-10-23,69
2005-10-24,69
2005-10-25,69
2005-10-26,69
2005-10-27,69
2005-10-28,69
2005-10-29,69
2005-10-30,69
2005-10-31,69
2005-11-01,69
2005-11-02,69
2005-11-03,69
2005-11-04,69
2005-11-05,69
2005-11-06,69
2005-11-07,69
2005-11-08,69
2005-11-09,69
2005-11-10,69
2005-11-11,69
2005-11-12,69
2005-11-13,69
2005-11-14,69
2005-11-15,69
2005-11-16,69
2005-11-17,69
2005-11-18,69
2005-11-19,69
2005-11-20,69
2005-11-21,69
2005-11-22,69
2005-11-23,69
2005-11-24,69
2005-11-25,69
2005-11-26,69
2005-11-27,69
2005-11-28,69
2005-11-29,69
2005-11-30,69
2005-12-01,69
2005-12-02,66
2005-12-03,64
2005-12-04,62
2005-12-05,60
2005-12-06,57
2005-12-07,55
2005-12-08,53
2005-12-09,51
2005-12-10,48
2005-12-11,46
2005-12-12,44
2005-12-13,42
2005-12-14,40
2005-12-15,37
2005-12-16,35
2005-12-17,33
2005-12-18,31
2005-12-19,28
2005-12-20,26
2005-12-21,24
2005-12-22,22
2005-12-23,20
2005-12-24,17
2005-12-25,15
2005-12-26,13
2005-12-27,11
2005-12-28,8
2005-12-29,6
2005-12-30,4
2005-12-31,2
