Date,Workday
2012-10-05,32
2012-10-06,34
2012-10-07,43
2012-10-08,52
2012-10-09,62
2012-10-10,71
2012-10-11,81
2012-10-12,90
2012-10-13,117
2012-10-14,112
2012-10-15,83
2012-10-16,79
2012-10-17,69
2012-10-18,65
2012-10-19,51
2012-10-20,45
2012-10-21,39
2012-10-22,36
2012-10-23,33
2012-10-24,30
2012-10-25,26
2012-10-26,24
2012-10-27,20
2012-10-28,19
2012-10-29,18
2012-10-30,17
2012-10-31,16
2012-11-01,15
2012-11-02,15
2012-11-03,14
2012-11-04,14
2012-11-05,14
2012-11-06,14
2012-11-07,14
2012-11-08,14
2012-11-09,15
2012-11-10,15
2012-11-11,15
2012-11-12,15
2012-11-13,15
2012-11-14,15
2012-11-15,15
2012-11-16,15
2012-11-17,15
2012-11-18,14
2012-11-19,14
2012-11-20,14
2012-11-21,14
2012-11-22,14
2012-11-23,14
2012-11-24,14
2012-11-25,13
2012-11-26,13
2012-11-27,14
2012-11-28,13
2012-11-29,13
2012-11-30,13
2012-12-01,13
2012-12-02,13
2012-12-03,13
2012-12-04,13
2012-12-05,13
2012-12-06,13
2012-12-07,14
2012-12-08,14
2012-12-09,14
2012-12-10,14
2012-12-11,14
2012-12-12,14
2012-12-13,14
2012-12-14,14
2012-12-15,14
2012-12-16,14
2012-12-17,14
2012-12-18,14
2012-12-19,14
2012-12-20,14
2012-12-21,14
2012-12-22,15
2012-12-23,14
2012-12-24,13
2012-12-25,12
2012-12-26,12
2012-12-27,11
2012-12-28,10
2012-12-29,10
2012-12-30,10
2012-12-31,11
2013-01-01,11
2013-01-02,13
2013-01-03,12
2013-01-04,13
2013-01-05,14
2013-01-06,14
2013-01-07,14
2013-01-08,14
2013-01-09,14
2013-01-10,15
2013-01-11,14
2013-01-12,15
2013-01-13,14
2013-01-14,14
2013-01-15,14
2013-01-16,14
2013-01-17,14
2013-01-18,14
2013-01-19,14
2013-01-20,13
2013-01-21,13
2013-01-22,13
2013-01-23,12
2013-01-24,12
2013-01-25,13
2013-01-26,12
2013-01-27,12
2013-01-28,13
2013-01-29,14
2013-01-30,15
2013-01-31,15
2013-02-01,16
2013-02-02,18
2013-02-03,16
2013-02-04,15
2013-02-05,15
2013-02-06,14
2013-02-07,14
2013-02-08,13
2013-02-09,13
2013-02-10,12
2013-02-11,12
2013-02-12,12
2013-02-13,12
2013-02-14,12
2013-02-15,12
2013-02-16,12
2013-02-17,12
2013-02-18,12
2013-02-19,13
2013-02-20,13
2013-02-21,15
2013-02-22,14
2013-02-23,15
2013-02-24,15
2013-02-25,15
2013-02-26,15
2013-02-27,16
2013-02-28,16
2013-03-01,16
2013-03-02,17
2013-03-03,17
2013-03-04,17
2013-03-05,17
2013-03-06,19
2013-03-07,18
2013-03-08,19
2013-03-09,20
2013-03-10,18
2013-03-11,17
2013-03-12,16
2013-03-13,15
2013-03-14,14
2013-03-15,13
2013-03-16,12
2013-03-17,12
2013-03-18,13
2013-03-19,14
2013-03-20,14
2013-03-21,15
2013-03-22,15
2013-03-23,16
2013-03-24,16
2013-03-25,16
2013-03-26,16
2013-03-27,16
2013-03-28,16
2013-03-29,16
2013-03-30,16
2013-03-31,15
2013-05-01,15
2013-05-02,16
2013-05-03,16
2013-05-04,17
2013-05-05,16
2013-05-06,16
2013-05-07,16
2013-05-08,16
2013-05-09,16
2013-05-10,16
2013-05-11,16
2013-05-12,15
2013-05-13,14
2013-05-14,14
2013-05-15,14
2013-05-16,13
2013-05-17,12
2013-05-18,12
2013-05-19,12
2013-05-20,13
2013-05-21,13
2013-05-22,14
2013-05-23,16
2013-05-24,15
2013-05-25,16
2013-05-26,16
2013-05-27,16
2013-05-28,16
2013-05-29,17
2013-05-30,18
2013-05-31,18
2013-06-01,18
2013-06-02,18
2013-06-03,18
2013-06-04,18
2013-06-05,19
2013-06-06,18
2013-06-07,18
2013-06-08,21
2013-06-09,18
2013-06-10,17
2013-06-11,16
2013-06-12,15
2013-06-13,14
2013-06-14,13
2013-06-15,13
2013-06-16,13
2013-06-17,13
2013-06-18,13
2013-06-19,13
2013-06-20,13
2013-06-21,13
2013-06-22,13
2013-06-23,13
2013-06-24,14
2013-06-25,15
2013-06-26,15
2013-06-27,15
2013-06-28,17
2013-06-29,17
2013-06-30,16
2013-07-01,16
2013-07-02,17
2013-07-03,16
2013-07-04,16
2013-07-05,16
2013-07-06,16
2013-07-07,16
2013-07-08,16
2013-07-09,16
2013-07-10,16
2013-07-11,16
2013-07-12,16
2013-07-13,16
2013-07-14,16
2013-07-15,16
2013-07-16,16
2013-07-17,16
2013-07-18,17
2013-07-19,16
2013-07-20,17
2013-07-21,16
2013-07-22,15
2013-07-23,15
2013-07-24,14
2013-07-25,14
2013-07-26,13
2013-07-27,13
2013-07-28,13
2013-07-29,14
2013-07-30,16
2013-07-31,15
2013-08-01,16
2013-08-02,17
2013-08-03,18
2013-08-04,17
2013-08-05,17
2013-08-06,17
2013-08-07,16
2013-08-08,16
2013-08-09,17
2013-08-10,16
2013-08-11,15
2013-08-12,15
2013-08-13,15
2013-08-14,15
2013-08-15,14
2013-08-16,14
2013-08-17,14
2013-08-18,14
2013-08-19,15
2013-08-20,16
2013-08-21,16
2013-08-22,16
2013-08-23,18
2013-08-24,18
2013-08-25,17
2013-08-26,16
2013-08-27,16
2013-08-28,16
2013-08-29,15
2013-08-30,15
2013-08-31,14
2013-09-01,14
2013-09-02,15
2013-09-03,15
2013-09-04,16
2013-09-05,16
2013-09-06,18
2013-09-07,18
2013-09-08,18
2013-09-09,18
2013-09-10,19
2013-09-11,21
2013-09-12,20
2013-09-13,21
2013-09-14,21
2013-09-15,21
2013-09-16,21
2013-09-17,23
2013-09-18,22
2013-09-19,23
2013-09-20,25
2013-09-21,24
2013-09-22,23
2013-09-23,22
2013-09-24,23
2013-09-25,23
2013-09-26,21
2013-09-27,20
2013-09-28,20
2013-09-29,19
2013-09-30,19
2013-10-01,19
2013-10-02,18
2013-10-03,19
2013-10-04,18
2013-10-05,18
2013-10-06,18
2013-10-07,19
2013-10-08,19
2013-10-09,20
2013-10-10,21
2013-10-11,21
2013-10-12,22
2013-10-13,21
2013-10-14,20
2013-10-15,20
2013-10-16,19
2013-10-17,19
2013-10-18,18
2013-10-19,18
2013-10-20,18
2013-10-21,18
2013-10-22,19
2013-10-23,19
2013-10-24,20
2013-10-25,19
2013-10-26,20
2013-10-27,20
2013-10-28,20
2013-10-29,22
2013-10-30,20
2013-10-31,21
2013-11-01,20
2013-11-02,21
2013-11-03,21
2013-11-04,21
2013-11-05,21
2013-11-06,21
2013-11-07,21
2013-11-08,21
2013-11-09,21
2013-11-10,20
2013-11-11,20
2013-11-12,20
2013-11-13,20
2013-11-14,22
2013-11-15,21
2013-11-16,20
2013-11-17,20
2013-11-18,20
2013-11-19,21
2013-11-20,22
2013-11-21,22
2013-11-22,24
2013-11-23,24
2013-11-24,22
2013-11-25,22
2013-11-26,21
2013-11-27,21
2013-11-28,23
2013-11-29,20
2013-11-30,20
2013-12-01,19
2013-12-02,19
2013-12-03,19
2013-12-04,18
2013-12-05,19
2013-12-06,18
2013-12-07,18
2013-12-08,17
2013-12-09,17
2013-12-10,17
2013-12-11,18
2013-12-12,17
2013-12-13,17
2013-12-14,17
2013-12-15,17
2013-12-16,18
2013-12-17,20
2013-12-18,19
2013-12-19,19
2013-12-20,20
2013-12-21,22
2013-12-22,19
2013-12-23,18
2013-12-24,17
2013-12-25,15
2013-12-26,14
2013-12-27,13
2013-12-28,12
2013-12-29,12
2013-12-30,12
2013-12-31,13
2014-01-01,13
2014-01-02,14
2014-01-03,15
2014-01-04,15
2014-01-05,16
2014-01-06,17
2014-01-07,18
2014-01-08,19
2014-01-09,20
2014-01-10,23
2014-01-11,22
2014-01-12,22
2014-01-13,22
2014-01-14,22
2014-01-15,23
2014-01-16,22
2014-01-17,22
2014-01-18,23
2014-01-19,22
2014-01-20,22
2014-01-21,23
2014-01-22,22
2014-01-23,22
2014-01-24,22
2014-01-25,22
2014-01-26,22
2014-01-27,22
2014-01-28,22
2014-01-29,24
2014-01-30,23
2014-01-31,23
