Date,Clovis Oncology
2011-11-14,97
2011-11-15,97
2011-11-16,97
2011-11-17,97
2011-11-18,97
2011-11-19,97
2011-11-20,96
2011-11-21,96
2011-11-22,96
2011-11-23,96
2011-11-24,96
2011-11-25,96
2011-11-26,95
2011-11-27,95
2011-11-28,95
2011-11-29,95
2011-11-30,95
2011-12-01,95
2011-12-02,95
2011-12-03,95
2011-12-04,95
2011-12-05,95
2011-12-06,95
2011-12-07,95
2011-12-08,95
2011-12-09,95
2011-12-10,95
2011-12-11,95
2011-12-12,95
2011-12-13,95
2011-12-14,95
2011-12-15,95
2011-12-16,95
2011-12-17,95
2011-12-18,95
2011-12-19,95
2011-12-20,95
2011-12-21,95
2011-12-22,95
2011-12-23,95
2011-12-24,95
2011-12-25,95
2011-12-26,95
2011-12-27,95
2011-12-28,95
2011-12-29,95
2011-12-30,95
2011-12-31,95
2012-01-01,95
2012-01-02,95
2012-01-03,95
2012-01-04,95
2012-01-05,95
2012-01-06,95
2012-01-07,95
2012-01-08,95
2012-01-09,95
2012-01-10,95
2012-01-11,95
2012-01-12,95
2012-01-13,95
2012-01-14,95
2012-01-15,95
2012-01-16,95
2012-01-17,95
2012-01-18,95
2012-01-19,95
2012-01-20,95
2012-01-21,95
2012-01-22,95
2012-01-23,95
2012-01-24,95
2012-01-25,95
2012-01-26,95
2012-01-27,95
2012-01-28,95
2012-01-29,95
2012-01-30,95
2012-01-31,95
2012-02-01,95
2012-02-02,91
2012-02-03,88
2012-02-04,85
2012-02-05,81
2012-02-06,78
2012-02-07,75
2012-02-08,72
2012-02-09,68
2012-02-10,65
2012-02-11,62
2012-02-12,58
2012-02-13,55
2012-02-14,52
2012-02-15,49
2012-02-16,45
2012-02-17,42
2012-02-18,39
2012-02-19,36
2012-02-20,32
2012-02-21,29
2012-02-22,26
2012-02-23,22
2012-02-24,19
2012-02-25,16
2012-02-26,13
2012-02-27,9
2012-02-28,6
2012-02-29,3
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,2
2012-08-03,5
2012-08-04,8
2012-08-05,11
2012-08-06,14
2012-08-07,16
2012-08-08,19
2012-08-09,22
2012-08-10,25
2012-08-11,28
2012-08-12,30
2012-08-13,33
2012-08-14,36
2012-08-15,39
2012-08-16,42
2012-08-17,44
2012-08-18,47
2012-08-19,50
2012-08-20,53
2012-08-21,56
2012-08-22,58
2012-08-23,61
2012-08-24,64
2012-08-25,67
2012-08-26,70
2012-08-27,72
2012-08-28,75
2012-08-29,78
2012-08-30,81
2012-08-31,84
2012-09-01,87
2012-09-02,84
2012-09-03,81
2012-09-04,78
2012-09-05,75
2012-09-06,72
2012-09-07,69
2012-09-08,66
2012-09-09,63
2012-09-10,60
2012-09-11,58
2012-09-12,55
2012-09-13,52
2012-09-14,49
2012-09-15,46
2012-09-16,43
2012-09-17,40
2012-09-18,37
2012-09-19,34
2012-09-20,31
2012-09-21,29
2012-09-22,26
2012-09-23,23
2012-09-24,20
2012-09-25,17
2012-09-26,14
2012-09-27,11
2012-09-28,8
2012-09-29,5
2012-09-30,2
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
