Date,Benefitfocus
2013-11-06,38
2013-11-07,38
2013-11-08,38
2013-11-09,38
2013-11-10,38
2013-11-11,38
2013-11-12,38
2013-11-13,38
2013-11-14,38
2013-11-15,38
2013-11-16,38
2013-11-17,38
2013-11-18,38
2013-11-19,38
2013-11-20,38
2013-11-21,38
2013-11-22,38
2013-11-23,38
2013-11-24,38
2013-11-25,38
2013-11-26,38
2013-11-27,38
2013-11-28,38
2013-11-29,38
2013-11-30,38
2013-12-01,38
2013-12-02,38
2013-12-03,39
2013-12-04,39
2013-12-05,40
2013-12-06,40
2013-12-07,41
2013-12-08,41
2013-12-09,42
2013-12-10,42
2013-12-11,43
2013-12-12,43
2013-12-13,44
2013-12-14,44
2013-12-15,45
2013-12-16,45
2013-12-17,46
2013-12-18,46
2013-12-19,47
2013-12-20,47
2013-12-21,48
2013-12-22,48
2013-12-23,49
2013-12-24,49
2013-12-25,50
2013-12-26,50
2013-12-27,51
2013-12-28,51
2013-12-29,52
2013-12-30,52
2013-12-31,53
2014-01-01,54
2014-01-02,52
2014-01-03,50
2014-01-04,48
2014-01-05,47
2014-01-06,45
2014-01-07,43
2014-01-08,41
2014-01-09,40
2014-01-10,38
2014-01-11,36
2014-01-12,34
2014-01-13,33
2014-01-14,31
2014-01-15,29
2014-01-16,27
2014-01-17,26
2014-01-18,24
2014-01-19,22
2014-01-20,20
2014-01-21,19
2014-01-22,17
2014-01-23,15
2014-01-24,13
2014-01-25,12
2014-01-26,10
2014-01-27,8
2014-01-28,6
2014-01-29,5
2014-01-30,3
2014-01-31,1
