Date,Springleaf
2014-03-19,71
2014-03-20,65
2014-03-21,59
2014-03-22,53
2014-03-23,55
2014-03-24,58
2014-03-25,60
2014-03-26,63
2014-03-27,65
2014-03-28,68
2014-03-29,71
2014-03-30,72
