Date,Ameresco
2010-07-24,102
2010-07-25,93
2010-07-26,82
2010-07-27,74
2010-07-28,65
2010-07-29,56
2010-07-30,47
2010-07-31,39
2010-08-01,39
2010-08-02,40
2010-08-03,41
2010-08-04,41
2010-08-05,42
2010-08-06,43
2010-08-07,44
2010-08-08,43
2010-08-09,42
2010-08-10,41
2010-08-11,40
2010-08-12,39
2010-08-13,38
2010-08-14,37
2010-08-15,35
2010-08-16,34
2010-08-17,32
2010-08-18,31
2010-08-19,29
2010-08-20,28
2010-08-21,27
2010-08-22,28
2010-08-23,30
2010-08-24,32
2010-08-25,33
2010-08-26,35
2010-08-27,37
2010-08-28,39
2010-08-29,37
2010-09-05,25
2010-09-06,25
2010-09-07,26
2010-09-08,26
2010-09-09,26
2010-09-10,26
2010-09-11,27
2010-09-12,26
2010-09-13,26
2010-09-14,26
2010-09-15,25
2010-09-16,25
2010-09-17,25
2010-09-18,25
2010-09-19,25
2010-09-20,25
2010-09-21,25
2010-09-22,25
2010-09-23,26
2010-09-24,26
2010-09-25,26
2010-09-26,24
2010-09-27,23
2010-09-28,21
2010-09-29,20
2010-09-30,18
2010-10-01,17
2010-10-02,16
2010-10-03,17
2010-10-04,19
2010-10-05,20
2010-10-06,22
2010-10-07,23
2010-10-08,25
2010-10-09,27
2010-10-10,26
2010-10-11,25
2010-10-12,25
2010-10-13,24
2010-10-14,24
2010-10-15,23
2010-10-16,23
2010-10-17,23
2010-10-18,23
2010-10-19,23
2010-10-20,23
2010-10-21,23
2010-10-22,23
2010-10-23,23
2010-10-24,22
2010-10-25,21
2010-10-26,20
2010-10-27,19
2010-10-28,18
2010-10-29,17
2010-10-30,16
2010-10-31,16
2010-11-01,16
2010-11-02,16
2010-11-03,16
2010-11-04,16
2010-11-05,16
2010-11-06,17
2010-11-07,18
2010-11-08,20
2010-11-09,21
2010-11-10,23
2010-11-11,25
2010-11-12,26
2010-11-13,28
2010-11-14,26
2010-11-15,25
2010-11-16,23
2010-11-17,22
2010-11-18,20
2010-11-19,19
2010-11-20,18
2010-11-21,18
2010-11-22,18
2010-11-23,18
2010-11-24,18
2010-11-25,18
2010-11-26,18
2010-11-27,18
2010-11-28,17
2010-12-05,15
2010-12-06,16
2010-12-07,17
2010-12-08,17
2010-12-09,18
2010-12-10,19
2010-12-11,20
2010-12-12,20
2010-12-13,20
2010-12-14,20
2010-12-15,20
2010-12-16,20
2010-12-17,20
2010-12-18,21
2010-12-19,21
2010-12-20,21
2010-12-21,21
2010-12-22,22
2010-12-23,22
2010-12-24,22
2010-12-25,23
2010-12-26,23
2010-12-27,23
2010-12-28,23
2010-12-29,23
2010-12-30,23
2010-12-31,23
2011-01-01,24
2011-01-02,23
2011-01-03,22
2011-01-04,22
2011-01-05,21
2011-01-06,21
2011-01-07,20
2011-01-08,20
2011-01-09,21
2011-01-10,24
2011-01-11,25
2011-01-12,27
2011-01-13,29
2011-01-14,31
2011-01-15,33
2011-01-16,32
2011-01-17,31
2011-01-18,30
2011-01-19,30
2011-01-20,29
2011-01-21,28
2011-01-22,28
2011-01-23,28
2011-01-24,28
2011-01-25,29
2011-01-26,29
2011-01-27,29
2011-01-28,29
2011-01-29,30
2011-01-30,29
2011-01-31,27
2011-02-01,26
2011-02-02,25
2011-02-03,24
2011-02-04,23
2011-02-05,22
2011-02-06,23
2011-02-07,24
2011-02-08,25
2011-02-09,26
2011-02-10,27
2011-02-11,28
2011-02-12,29
2011-02-13,27
2011-02-14,25
2011-02-15,24
2011-02-16,22
2011-02-17,21
2011-02-18,19
2011-02-19,18
2011-02-20,19
2011-02-21,20
2011-02-22,21
2011-02-23,22
2011-02-24,23
2011-02-25,24
2011-02-26,25
2011-02-27,26
2011-03-06,32
2011-03-07,30
2011-03-08,29
2011-03-09,27
2011-03-10,26
2011-03-11,24
2011-03-12,23
2011-03-13,24
2011-03-14,25
2011-03-15,27
2011-03-16,28
2011-03-17,29
2011-03-18,31
2011-03-19,32
2011-03-20,29
2011-03-21,27
2011-03-22,24
2011-03-23,22
2011-03-24,20
2011-03-25,17
2011-03-26,15
2011-03-27,15
2011-03-28,15
2011-03-29,15
2011-03-30,16
2011-03-31,16
2011-04-01,16
2011-04-02,17
2011-04-03,18
2011-04-04,20
2011-04-05,21
2011-04-06,22
2011-04-07,24
2011-04-08,25
2011-04-09,27
2011-04-10,26
2011-04-11,25
2011-04-12,24
2011-04-13,23
2011-04-14,22
2011-04-15,21
2011-04-16,21
2011-04-17,20
2011-04-18,20
2011-04-19,20
2011-04-20,20
2011-04-21,20
2011-04-22,20
2011-04-23,20
2011-04-24,19
2011-04-25,19
2011-04-26,18
2011-04-27,18
2011-04-28,17
2011-04-29,17
2011-04-30,17
2011-05-01,18
2011-05-02,20
2011-05-03,22
2011-05-04,23
2011-05-05,25
2011-05-06,27
2011-05-07,29
2011-05-08,27
2011-05-09,26
2011-05-10,25
2011-05-11,24
2011-05-12,23
2011-05-13,22
2011-05-14,21
2011-05-15,21
2011-05-16,20
2011-05-17,20
2011-05-18,20
2011-05-19,20
2011-05-20,20
2011-05-21,20
2011-05-22,21
2011-05-23,23
2011-05-24,24
2011-05-25,26
2011-05-26,28
2011-05-27,29
2011-05-28,31
2011-05-29,30
2011-06-05,27
2011-06-06,27
2011-06-07,27
2011-06-08,27
2011-06-09,27
2011-06-10,27
2011-06-11,27
2011-06-12,26
2011-06-13,25
2011-06-14,24
2011-06-15,24
2011-06-16,23
2011-06-17,22
2011-06-18,22
2011-06-19,23
2011-06-20,25
2011-06-21,27
2011-06-22,29
2011-06-23,30
2011-06-24,32
2011-06-25,34
2011-06-26,32
2011-06-27,30
2011-06-28,28
2011-06-29,27
2011-06-30,25
2011-07-01,23
2011-07-02,22
2011-07-03,21
2011-07-04,21
2011-07-05,21
2011-07-06,21
2011-07-07,21
2011-07-08,21
2011-07-09,21
2011-07-10,21
2011-07-11,21
2011-07-12,21
2011-07-13,21
2011-07-14,21
2011-07-15,21
2011-07-16,21
2011-07-17,21
2011-07-18,21
2011-07-19,21
2011-07-20,21
2011-07-21,21
2011-07-22,21
2011-07-23,21
2011-07-24,21
2011-07-25,21
2011-07-26,21
2011-07-27,21
2011-07-28,21
2011-07-29,21
2011-07-30,22
2011-07-31,22
2011-08-01,22
2011-08-02,22
2011-08-03,22
2011-08-04,22
2011-08-05,22
2011-08-06,23
2011-08-07,22
2011-08-08,22
2011-08-09,21
2011-08-10,20
2011-08-11,20
2011-08-12,19
2011-08-13,19
2011-08-14,18
2011-08-15,18
2011-08-16,17
2011-08-17,17
2011-08-18,16
2011-08-19,16
2011-08-20,16
2011-08-21,16
2011-08-22,17
2011-08-23,18
2011-08-24,19
2011-08-25,20
2011-08-26,21
2011-08-27,22
2011-08-28,22
