Date,Supernus
2010-11-14,30
2010-11-15,30
2010-11-16,31
2010-11-17,31
2010-11-18,31
2010-11-19,32
2010-11-20,32
2010-11-21,33
2010-11-22,33
2010-11-23,33
2010-11-24,34
2010-11-25,34
2010-11-26,35
2010-11-27,35
2010-11-28,35
2010-11-29,36
2010-11-30,36
2010-12-01,37
2010-12-02,36
2010-12-03,36
2010-12-04,36
2010-12-05,36
2010-12-06,36
2010-12-07,36
2010-12-08,36
2010-12-09,36
2010-12-10,36
2010-12-11,36
2010-12-12,36
2010-12-13,36
2010-12-14,36
2010-12-15,36
2010-12-16,36
2010-12-17,36
2010-12-18,36
2010-12-19,36
2010-12-20,36
2010-12-21,36
2010-12-22,36
2010-12-23,36
2010-12-24,36
2010-12-25,36
2010-12-26,36
2010-12-27,36
2010-12-28,36
2010-12-29,36
2010-12-30,36
2010-12-31,36
2011-01-01,36
2011-01-02,35
2011-01-03,34
2011-01-04,34
2011-01-05,33
2011-01-06,33
2011-01-07,32
2011-01-08,32
2011-01-09,31
2011-01-10,31
2011-01-11,30
2011-01-12,30
2011-01-13,29
2011-01-14,29
2011-01-15,28
2011-01-16,28
2011-01-17,27
2011-01-18,27
2011-01-19,26
2011-01-20,26
2011-01-21,25
2011-01-22,25
2011-01-23,24
2011-01-24,24
2011-01-25,23
2011-01-26,23
2011-01-27,22
2011-01-28,22
2011-01-29,21
2011-01-30,21
2011-01-31,20
2011-02-01,20
2011-02-02,20
2011-02-03,20
2011-02-04,20
2011-02-05,20
2011-02-06,20
2011-02-07,20
2011-02-08,20
2011-02-09,20
2011-02-10,20
2011-02-11,20
2011-02-12,20
2011-02-13,20
2011-02-14,20
2011-02-15,20
2011-02-16,20
2011-02-17,20
2011-02-18,20
2011-02-19,20
2011-02-20,20
2011-02-21,20
2011-02-22,20
2011-02-23,20
2011-02-24,20
2011-02-25,20
2011-02-26,20
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,19
2011-03-03,18
2011-03-04,18
2011-03-05,17
2011-03-06,16
2011-03-07,16
2011-03-08,15
2011-03-09,14
2011-03-10,14
2011-03-11,13
2011-03-12,12
2011-03-13,12
2011-03-14,11
2011-03-15,10
2011-03-16,10
2011-03-17,9
2011-03-18,9
2011-03-19,8
2011-03-20,7
2011-03-21,7
2011-03-22,6
2011-03-23,5
2011-03-24,5
2011-03-25,4
2011-03-26,3
2011-03-27,3
2011-03-28,2
2011-03-29,1
2011-03-30,1
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,1
2011-10-04,1
2011-10-05,2
2011-10-06,2
2011-10-07,3
2011-10-08,4
2011-10-09,4
2011-10-10,5
2011-10-11,5
2011-10-12,6
2011-10-13,6
2011-10-14,7
2011-10-15,8
2011-10-16,8
2011-10-17,9
2011-10-18,9
2011-10-19,10
2011-10-20,11
2011-10-21,11
2011-10-22,12
2011-10-23,12
2011-10-24,13
2011-10-25,13
2011-10-26,14
2011-10-27,15
2011-10-28,15
2011-10-29,16
2011-10-30,16
2011-10-31,17
2011-11-01,18
2011-11-02,18
2011-11-03,18
2011-11-04,18
2011-11-05,18
2011-11-06,19
2011-11-07,19
2011-11-08,19
2011-11-09,19
2011-11-10,20
2011-11-11,20
2011-11-12,20
2011-11-13,20
2011-11-14,21
2011-11-15,21
2011-11-16,21
2011-11-17,21
2011-11-18,21
2011-11-19,22
2011-11-20,22
2011-11-21,22
2011-11-22,22
2011-11-23,23
2011-11-24,23
2011-11-25,23
2011-11-26,23
2011-11-27,24
2011-11-28,24
2011-11-29,24
2011-11-30,24
2011-12-01,25
2011-12-02,25
2011-12-03,25
2011-12-04,25
2011-12-05,25
2011-12-06,26
2011-12-07,26
2011-12-08,26
2011-12-09,26
2011-12-10,27
2011-12-11,27
2011-12-12,27
2011-12-13,27
2011-12-14,27
2011-12-15,28
2011-12-16,28
2011-12-17,28
2011-12-18,28
2011-12-19,29
2011-12-20,29
2011-12-21,29
2011-12-22,29
2011-12-23,29
2011-12-24,30
2011-12-25,30
2011-12-26,30
2011-12-27,30
2011-12-28,31
2011-12-29,31
2011-12-30,31
2011-12-31,31
2012-01-01,32
2012-01-02,31
2012-01-03,31
2012-01-04,30
2012-01-05,30
2012-01-06,29
2012-01-07,29
2012-01-08,28
2012-01-09,28
2012-01-10,27
2012-01-11,27
2012-01-12,27
2012-01-13,26
2012-01-14,26
2012-01-15,25
2012-01-16,25
2012-01-17,24
2012-01-18,24
2012-01-19,23
2012-01-20,23
2012-01-21,22
2012-01-22,22
2012-01-23,22
2012-01-24,21
2012-01-25,21
2012-01-26,20
2012-01-27,20
2012-01-28,19
2012-01-29,19
2012-01-30,18
2012-01-31,18
2012-02-01,18
2012-02-02,18
2012-02-03,18
2012-02-04,18
2012-02-05,18
2012-02-06,18
2012-02-07,18
2012-02-08,18
2012-02-09,18
2012-02-10,18
2012-02-11,18
2012-02-12,18
2012-02-13,18
2012-02-14,18
2012-02-15,18
2012-02-16,18
2012-02-17,18
2012-02-18,18
2012-02-19,18
2012-02-20,18
2012-02-21,18
2012-02-22,18
2012-02-23,18
2012-02-24,18
2012-02-25,18
2012-02-26,18
2012-02-27,18
2012-02-28,18
2012-02-29,18
2012-03-04,26
2012-03-05,29
2012-03-06,32
2012-03-07,34
2012-03-08,37
2012-03-09,39
2012-03-10,42
2012-03-11,45
2012-03-12,47
2012-03-13,50
2012-03-14,52
2012-03-15,55
2012-03-16,58
2012-03-17,60
2012-03-18,63
2012-03-19,66
2012-03-20,68
2012-03-21,71
2012-03-22,73
2012-03-23,76
2012-03-24,79
2012-03-25,81
2012-03-26,84
2012-03-27,86
2012-03-28,89
2012-03-29,92
2012-03-30,94
2012-03-31,97
2012-04-01,100
2012-04-02,114
2012-04-03,97
2012-04-04,96
2012-04-05,94
2012-04-06,93
2012-04-07,92
2012-04-08,91
2012-04-09,89
2012-04-10,88
2012-04-11,87
2012-04-12,86
2012-04-13,84
2012-04-14,83
2012-04-15,82
2012-04-16,81
2012-04-17,79
2012-04-18,78
2012-04-19,77
2012-04-20,75
2012-04-21,74
2012-04-22,73
2012-04-23,72
2012-04-24,70
2012-04-25,69
2012-04-26,68
2012-04-27,67
2012-04-28,65
2012-04-29,64
2012-04-30,64
2012-05-01,63
2012-05-02,63
2012-05-03,62
2012-05-04,62
2012-05-05,62
2012-05-06,63
2012-05-07,61
2012-05-08,61
2012-05-09,61
2012-05-10,62
2012-05-11,62
2012-05-12,64
2012-05-13,58
2012-05-14,58
2012-05-15,57
2012-05-16,57
2012-05-17,57
2012-05-18,57
2012-05-19,56
2012-05-20,56
2012-05-21,56
2012-05-22,55
2012-05-23,55
2012-05-24,55
2012-05-25,55
2012-05-26,54
2012-05-27,54
