Date,Imperial
2011-09-13,85
2011-09-14,85
2011-09-15,87
2011-09-16,85
2011-09-17,94
2011-09-18,84
2011-09-19,84
2011-09-20,83
2011-09-21,83
2011-09-22,82
2011-09-23,85
2011-09-24,91
2011-09-25,81
2011-09-26,80
2011-09-27,82
2011-09-28,79
2011-09-29,80
2011-09-30,79
2011-10-01,85
2011-10-02,79
2011-10-03,80
2011-10-04,81
2011-10-05,84
2011-10-06,86
2011-10-07,84
2011-10-08,90
2011-10-09,85
2011-10-10,84
2011-10-11,83
2011-10-12,82
2011-10-13,82
2011-10-14,83
2011-10-15,82
2011-10-16,80
2011-10-17,80
2011-10-18,81
2011-10-19,85
2011-10-20,82
2011-10-21,83
2011-10-22,88
2011-10-23,84
2011-10-24,82
2011-10-25,84
2011-10-26,82
2011-10-27,82
2011-10-28,82
2011-10-29,86
2011-10-30,82
2011-10-31,82
2011-11-01,82
2011-11-02,82
2011-11-03,82
2011-11-04,83
2011-11-05,90
2011-11-06,82
2011-11-07,82
2011-11-08,82
2011-11-09,82
2011-11-10,86
2011-11-11,82
2011-11-12,84
2011-11-13,86
2011-11-14,82
2011-11-15,82
2011-11-16,82
2011-11-17,85
2011-11-18,84
2011-11-19,85
2011-11-20,82
2011-11-21,82
2011-11-22,82
2011-11-23,82
2011-11-24,82
2011-11-25,86
2011-11-26,82
2011-11-27,85
2011-11-28,82
2011-11-29,83
2011-11-30,83
2011-12-01,86
2011-12-02,86
2011-12-03,84
2011-12-04,87
2011-12-05,80
2011-12-06,78
2011-12-07,76
2011-12-08,74
2011-12-09,72
2011-12-10,75
2011-12-11,70
2011-12-12,71
2011-12-13,72
2011-12-14,74
2011-12-15,75
2011-12-16,75
2011-12-17,80
2011-12-18,75
2011-12-19,74
2011-12-20,73
2011-12-21,74
2011-12-22,72
2011-12-23,70
2011-12-24,75
2011-12-25,67
2011-12-26,66
2011-12-27,65
2011-12-28,65
2011-12-29,62
2011-12-30,65
2011-12-31,60
2012-01-01,64
2012-01-02,65
2012-01-03,67
2012-01-04,71
2012-01-05,72
2012-01-06,75
2012-01-07,82
2012-01-08,79
2012-01-09,80
2012-01-10,82
2012-01-11,82
2012-01-12,84
2012-01-13,84
2012-01-14,86
2012-01-15,87
2012-01-16,84
2012-01-17,84
2012-01-18,85
2012-01-19,83
2012-01-20,84
2012-01-21,86
2012-01-22,86
2012-01-23,83
2012-01-24,83
2012-01-25,85
2012-01-26,83
2012-01-27,85
2012-01-28,86
2012-01-29,90
2012-01-30,84
2012-01-31,84
