Date,Chuys
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,3
2012-06-03,6
2012-06-04,10
2012-06-05,13
2012-06-06,16
2012-06-07,20
2012-06-08,23
2012-06-09,26
2012-06-10,30
2012-06-11,33
2012-06-12,36
2012-06-13,40
2012-06-14,43
2012-06-15,46
2012-06-16,50
2012-06-17,53
2012-06-18,56
2012-06-19,60
2012-06-20,63
2012-06-21,66
2012-06-22,70
2012-06-23,73
2012-06-24,76
2012-06-25,80
2012-06-26,83
2012-06-27,86
2012-06-28,90
2012-06-29,93
2012-06-30,96
2012-07-01,100
2012-07-02,99
2012-07-03,99
2012-07-04,98
2012-07-05,98
2012-07-06,97
2012-07-07,97
2012-07-08,96
2012-07-09,96
2012-07-10,95
2012-07-11,95
2012-07-12,95
2012-07-13,94
2012-07-14,94
2012-07-15,93
2012-07-16,93
2012-07-17,92
2012-07-18,92
2012-07-19,91
2012-07-20,91
2012-07-21,90
2012-07-22,90
2012-07-23,90
2012-07-24,89
2012-07-25,89
2012-07-26,88
2012-07-27,88
2012-07-28,87
2012-07-29,87
2012-07-30,86
2012-07-31,86
2012-08-01,86
2012-08-02,86
2012-08-03,86
2012-08-04,86
2012-08-05,86
2012-08-06,86
2012-08-07,86
2012-08-08,86
2012-08-09,86
2012-08-10,86
2012-08-11,86
2012-08-12,86
2012-08-13,86
2012-08-14,86
2012-08-15,86
2012-08-16,86
2012-08-17,86
2012-08-18,86
2012-08-19,86
2012-08-20,86
2012-08-21,86
2012-08-22,86
2012-08-23,86
2012-08-24,86
2012-08-25,86
2012-08-26,86
2012-08-27,86
2012-08-28,86
2012-08-29,86
2012-08-30,86
2012-08-31,86
2012-09-01,86
2012-09-02,83
2012-09-03,80
2012-09-04,77
2012-09-05,74
2012-09-06,71
2012-09-07,68
2012-09-08,65
2012-09-09,63
2012-09-10,60
2012-09-11,57
2012-09-12,54
2012-09-13,51
2012-09-14,48
2012-09-15,45
2012-09-16,43
2012-09-17,40
2012-09-18,37
2012-09-19,34
2012-09-20,31
2012-09-21,28
2012-09-22,25
2012-09-23,22
2012-09-24,20
2012-09-25,17
2012-09-26,14
2012-09-27,11
2012-09-28,8
2012-09-29,5
2012-09-30,2
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
